STOKE: Start Bat: 1.000000
ETask 41: Configuration:0 Energy:10.50 Power:10.50 Reward:10.50 Time:2997
ETask 42: Configuration:0 Energy:11.20 Power:11.20 Reward:11.20 Time:3017
ETask 43: Configuration:0 Energy:11.40 Power:11.40 Reward:11.40 Time:2990
ETask 44: Configuration:0 Energy:10.60 Power:10.60 Reward:10.60 Time:3032
ETask 45: Configuration:0 Energy:9.90 Power:9.90 Reward:9.90 Time:2993
ETask 46: Configuration:0 Energy:10.70 Power:10.70 Reward:10.70 Time:3019
ETask 47: Configuration:0 Energy:11.40 Power:11.40 Reward:11.40 Time:2981
ETask 48: Configuration:0 Energy:10.70 Power:10.70 Reward:10.70 Time:3027
ETask 49: Configuration:0 Energy:9.90 Power:9.90 Reward:9.90 Time:2998
ETask 50: Configuration:0 Energy:11.10 Power:11.10 Reward:11.10 Time:3025
ETask 51: Configuration:0 Energy:12.00 Power:12.00 Reward:12.00 Time:3000
ETask 52: Configuration:0 Energy:11.40 Power:11.40 Reward:11.40 Time:3033
ETask 53: Configuration:0 Energy:10.80 Power:10.80 Reward:10.80 Time:2979
ETask 54: Configuration:0 Energy:12.50 Power:12.50 Reward:12.50 Time:3017
ETask 55: Configuration:0 Energy:12.60 Power:12.60 Reward:12.60 Time:2993
ETask 56: Configuration:0 Energy:11.70 Power:11.70 Reward:11.70 Time:3032
ETask 57: Configuration:0 Energy:10.60 Power:10.60 Reward:10.60 Time:2995
ETask 58: Configuration:0 Energy:11.40 Power:11.40 Reward:11.40 Time:3006
ETask 59: Configuration:0 Energy:12.30 Power:12.30 Reward:12.30 Time:2993
ETask 60: Configuration:0 Energy:11.70 Power:11.70 Reward:11.70 Time:3034
ETask 61: Configuration:0 Energy:10.70 Power:10.70 Reward:10.70 Time:2986
ETask 62: Configuration:0 Energy:11.50 Power:11.50 Reward:11.50 Time:3025
ETask 63: Configuration:0 Energy:11.90 Power:11.90 Reward:11.90 Time:2998
ETask 64: Configuration:0 Energy:11.40 Power:11.40 Reward:11.40 Time:3030
ETask 65: Configuration:0 Energy:10.30 Power:10.30 Reward:10.30 Time:2990
ETask 66: Configuration:0 Energy:11.10 Power:11.10 Reward:11.10 Time:3020
ETask 67: Configuration:0 Energy:11.50 Power:11.50 Reward:11.50 Time:3002
ETask 68: Configuration:0 Energy:10.70 Power:10.70 Reward:10.70 Time:3036
ETask 69: Configuration:0 Energy:10.30 Power:10.30 Reward:10.30 Time:2949
ETask 70: Configuration:0 Energy:11.20 Power:11.20 Reward:11.20 Time:3008
ETask 71: Configuration:0 Energy:12.10 Power:12.10 Reward:12.10 Time:2995
ETask 72: Configuration:0 Energy:11.20 Power:11.20 Reward:11.20 Time:3032
ETask 73: Configuration:0 Energy:10.60 Power:10.60 Reward:10.60 Time:2989
ETask 74: Configuration:0 Energy:11.40 Power:11.40 Reward:11.40 Time:3014
ETask 75: Configuration:0 Energy:12.10 Power:12.10 Reward:12.10 Time:2994
ETask 76: Configuration:0 Energy:11.20 Power:11.20 Reward:11.20 Time:3028
ETask 77: Configuration:0 Energy:10.70 Power:10.70 Reward:10.70 Time:3008
ETask 78: Configuration:0 Energy:11.30 Power:11.30 Reward:11.30 Time:3006
ETask 79: Configuration:0 Energy:12.10 Power:12.10 Reward:12.10 Time:3000
ETask 80: Configuration:0 Energy:11.20 Power:11.20 Reward:11.20 Time:3035
ETask 81: Configuration:0 Energy:10.30 Power:10.30 Reward:10.30 Time:2979
ETask 82: Configuration:0 Energy:11.20 Power:11.20 Reward:11.20 Time:3009
ETask 83: Configuration:0 Energy:12.10 Power:12.10 Reward:12.10 Time:2986
ETask 84: Configuration:0 Energy:11.60 Power:11.60 Reward:11.60 Time:3029
ETask 85: Configuration:0 Energy:10.60 Power:10.60 Reward:10.60 Time:2991
ETask 86: Configuration:0 Energy:11.60 Power:11.60 Reward:11.60 Time:3020
ETask 87: Configuration:0 Energy:12.10 Power:12.10 Reward:12.10 Time:3004
ETask 88: Configuration:0 Energy:11.60 Power:11.60 Reward:11.60 Time:3030
ETask 89: Configuration:0 Energy:10.40 Power:10.40 Reward:10.40 Time:2991
ETask 90: Configuration:0 Energy:11.20 Power:11.20 Reward:11.20 Time:3023
ETask 91: Configuration:0 Energy:12.10 Power:12.10 Reward:12.10 Time:2998
ETask 92: Configuration:0 Energy:11.60 Power:11.60 Reward:11.60 Time:3033
ETask 93: Configuration:0 Energy:6.80 Power:6.80 Reward:6.80 Time:2993
STOKE: End Bat: 1.000000
STOKE: Usage Bat: 0.000000
ERun: Reward:592.10 PostConfigReward:0.00 Time:163281
