tick	gps500_level	gps500_watts	gps5000_level	gps5000_watts
0	100	0.0396	100	0.039
1	100	0.0396	100	3.581
2	100	0.0396	100	3.581
3	100	0.0396	100	3.581
4	100	0.0396	100	3.581
5	100	2.4209	100	3.581
6	100	2.4209	100	3.581
7	100	2.4209	100	2.9766
8	100	2.4209	100	2.9766
9	100	2.4209	100	2.9766
10	100	2.4209	100	2.9766
11	100	2.3898	100	2.9766
12	100	2.3898	100	2.9766
13	100	2.3898	100	1.5309
14	100	2.3898	100	1.5309
15	100	2.3898	100	1.5309
16	100	2.3898	100	1.5309
17	100	2.5185	100	1.5309
18	100	2.5185	100	1.5309
19	100	2.5185	100	2.4621
20	100	2.5185	100	2.4621
21	100	2.5185	100	2.4621
22	100	2.5185	100	2.4621
23	100	2.4571	100	2.4621
24	100	2.4571	100	2.4621
25	100	2.4571	100	1.2605
26	100	2.4571	100	1.2605
27	100	2.4571	100	1.2605
28	100	2.4571	100	1.2605
29	100	2.4406	100	1.2605
30	100	2.4406	100	1.2605
31	100	2.4406	100	3.4673
32	100	2.4406	100	3.4673
33	100	2.4406	100	3.4673
34	100	2.4406	100	3.4673
35	100	2.4406	100	3.4673
36	100	2.4716	100	3.4673
37	100	2.4093	100	1.2856
38	100	2.4093	100	1.2856
39	100	2.4093	100	1.2856
40	100	2.4093	100	1.2856
41	100	2.4093	100	1.2856
42	100	2.8035	100	1.2856
43	100	2.8035	100	2.4502
44	100	2.8035	100	2.4502
45	100	2.8035	100	2.4502
46	100	2.8035	100	2.4502
47	100	2.8035	100	2.3936
48	100	2.3707	100	2.3936
49	100	2.3707	100	2.3936
50	100	2.3707	100	1.5751
51	100	2.3707	100	1.5751
52	100	2.3707	100	1.5751
53	100	2.3707	100	1.5751
54	100	2.8363	100	1.5751
55	100	2.8363	100	1.5751
56	100	2.8363	100	1.307
57	100	2.8363	100	1.307
58	100	2.8363	100	1.307
59	100	2.8363	100	1.307
60	100	2.9559	100	1.307
61	100	2.9559	100	1.307
62	100	2.9559	100	1.2081
63	100	2.9559	100	1.2081
64	100	2.9559	100	1.2081
65	100	2.9559	100	1.2081
66	100	2.8819	100	1.2081
67	100	2.8819	100	1.2081
68	100	2.8819	100	2.3678
69	100	2.8819	100	2.3678
70	100	2.8819	100	2.3678
71	100	2.8819	100	2.3678
72	100	2.4145	100	2.3678
73	100	2.4145	100	2.3678
74	100	2.4145	100	1.4588
75	100	2.4145	100	1.4588
76	100	2.4145	100	1.4588
77	100	2.4145	100	1.4588
78	100	2.4203	100	1.4588
79	100	2.4203	100	1.4588
80	100	2.4203	100	1.1351
81	100	2.4203	100	1.1351
82	100	2.4203	100	1.1351
83	100	2.4203	100	1.1351
84	100	2.4357	100	1.1351
85	100	2.4357	100	1.1351
86	98	2.4253	100	2.3264
87	98	2.4253	100	2.3264
88	98	2.4253	100	2.3264
89	98	2.4253	100	2.3264
90	98	2.6244	100	2.3264
91	98	2.6244	100	2.3264
92	98	2.6244	100	1.4497
93	98	2.6244	100	1.4497
94	98	2.6244	100	1.4497
95	98	2.6244	100	1.4497
96	98	2.6244	100	1.4497
97	98	2.3946	100	1.4497
98	98	2.3946	100	2.3555
99	98	2.3946	100	2.3555
100	98	2.3946	100	2.3555
101	98	2.3946	100	2.3555
102	98	2.3946	100	2.3555
103	98	2.5232	100	2.3555
104	98	2.5232	100	2.3742
105	98	2.5232	100	2.3742
106	98	2.5232	100	2.3742
107	98	2.5232	100	2.3742
108	98	2.5232	100	2.3742
109	98	2.4406	100	2.3742
110	98	2.4406	100	1.42
111	98	2.4406	100	1.42
112	98	2.4406	100	1.42
113	98	2.4406	100	1.42
114	98	2.4406	100	1.42
115	98	2.8312	100	1.42
116	98	2.8312	100	2.3471
117	98	2.8312	100	2.3471
118	98	2.8312	100	2.3471
119	97	2.8164	100	2.3471
120	97	2.8164	99	2.3371
121	97	2.4374	99	2.3371
122	97	2.4374	99	1.1361
123	97	2.4374	99	1.1361
124	97	2.4374	99	1.1361
125	97	2.4374	99	1.1361
126	97	2.4374	99	1.1361
127	97	2.8858	99	1.1361
128	97	2.8858	99	1.1361
129	97	2.8858	99	2.7971
130	97	2.8858	99	2.7971
131	97	2.8858	98	2.7858
