count	battery
0	1.0
1	1.0
2	1.0
3	1.0
4	1.0
5	1.0
6	1.0
7	1.0
8	1.0
9	1.0
10	1.0
11	1.0
12	1.0
13	1.0
14	1.0
15	1.0
16	1.0
17	1.0
18	1.0
19	1.0
20	1.0
21	1.0
22	1.0
23	1.0
24	1.0
25	1.0
26	1.0
27	1.0
28	1.0
29	1.0
30	1.0
31	1.0
32	1.0
33	1.0
34	1.0
35	1.0
36	1.0
37	1.0
38	1.0
39	0.99
40	0.99
41	0.99
42	0.99
43	0.99
44	0.99
45	0.99
46	0.99
47	0.99
48	0.99
49	0.99
50	0.99
51	0.99
52	0.99
53	0.99
54	0.99
55	0.99
56	0.99
57	0.99
58	0.99
59	0.99
60	0.99
61	0.99
62	0.99
63	0.99
64	0.99
65	0.99
66	0.98
67	0.98
68	0.98
69	0.98
70	0.98
71	0.98
72	0.98
73	0.98
74	0.98
75	0.98
76	0.98
77	0.98
78	0.98
79	0.98
80	0.98
81	0.98
82	0.98
83	0.98
84	0.98
85	0.98
86	0.98
87	0.98
88	0.98
89	0.98
90	0.98
91	0.98
92	0.98
93	0.98
94	0.98
95	0.98
96	0.98
97	0.98
98	0.98
99	0.98
100	0.98
101	0.97
102	0.97
103	0.97
104	0.97
105	0.97
106	0.97
107	0.97
108	0.97
109	0.97
110	0.97
111	0.97
112	0.97
113	0.97
114	0.97
115	0.97
116	0.97
117	0.97
118	0.97
119	0.97
120	0.97
121	0.97
122	0.97
123	0.97
124	0.97
125	0.97
126	0.97
127	0.97
128	0.97
129	0.97
130	0.97
131	0.97
132	0.97
133	0.97
134	0.97
135	0.97
136	0.97
137	0.97
138	0.97
139	0.96
140	0.96
141	0.96
142	0.96
143	0.96
144	0.96
145	0.96
146	0.96
147	0.96
148	0.96
149	0.96
150	0.96
151	0.96
152	0.96
153	0.96
154	0.96
155	0.96
156	0.96
157	0.96
158	0.96
159	0.96
160	0.96
161	0.96
162	0.96
163	0.95
164	0.95
165	0.95
166	0.95
167	0.95
168	0.95
169	0.95
170	0.95
171	0.95
172	0.95
173	0.95
174	0.95
175	0.95
176	0.95
177	0.95
178	0.95
179	0.95
180	0.95
181	0.95
182	0.95
183	0.95
184	0.95
185	0.95
186	0.95
187	0.95
188	0.95
189	0.95
190	0.95
191	0.95
192	0.95
193	0.95
194	0.95
195	0.95
196	0.95
197	0.95
198	0.95
199	0.94
200	0.94
201	0.94
202	0.94
203	0.94
204	0.94
205	0.94
206	0.94
207	0.94
208	0.94
