count	500ms	5000ms
100	195	90
99	135	140
98	175	240
97	190	245
96	120	180
95	180	220
94	55	175
93	220	295
92	75	165
91	175	230
90	180	300
89	115	125
88	175	245
87	120	180
86	225	275
85	70	175
84	160	220
83	110	150
82	180	300
81	145	160
80	125	200
79	180	295
78	160	125
77	110	245
76	120	175
75	160	235
74	120	180
73	155	235
72	115	150
71	175	295
70	165	205
69	95	130
68	170	240
67	105	190
66	150	195
65	120	175
64	160	250
63	120	140
62	145	220
61	95	130
60	175	245
59	160	225
58	95	120
57	180	250
56	90	165
55	155	170
54	120	180
53	155	235
52	115	120
51	185	250
50	140	265
49	120	120
48	155	280
47	105	100
46	195	295
45	85	140
44	160	200
43	120	175
42	160	225
41	120	175
40	160	240
39	160	240
38	110	175
37	165	215
36	90	135
35	180	250
34	85	165
33	150	180
32	120	190
31	145	220
30	145	150
29	110	165
28	145	230
27	120	120
26	140	185
25	75	150
24	180	235
23	85	155
22	145	220
21	120	180
20	185	255
19	120	220
18	120	175
17	165	280
16	120	175
