tick	gps500_level	gps500_watts	gps5000_level	gps5000_watts
0	100	3.6657	100	4.1688
1	100	2.8367	100	1.1706
2	100	2.3915	100	1.1898
3	100	2.3741	100	2.6238
4	100	2.387	100	1.2406
5	100	2.3935	100	1.1627
6	100	2.6018	100	2.4026
7	99	3.0402	100	1.3112
8	99	2.3938	100	2.4106
9	99	2.2748	100	1.2736
10	99	2.316	100	1.1693
11	99	2.2883	100	1.9319
12	99	2.3141	100	2.4416
13	99	2.5462	100	1.2129
14	99	2.7289	100	1.2948
15	99	2.262	100	1.1557
16	99	2.7546	100	1.1733
17	97	2.2844	100	2.383
18	97	2.3615	100	1.6322
19	97	2.3499	100	2.8204
20	97	2.4604	99	2.3565
21	97	2.7077	99	1.1715
22	97	2.3654	99	2.5639
23	97	2.3268	99	1.3243
24	97	2.3532	99	1.1619
25	97	2.7244	99	2.6852
26	96	2.3359	99	1.1523
27	96	2.3238	99	2.3681
28	96	2.4553	99	2.37
29	96	2.7248	99	1.3288
30	96	2.2931	99	2.3803
31	96	2.2408	97	1.1829
32	96	2.7555	97	1.2921
33	96	2.2976	97	1.9511
34	96	2.3078	97	1.2133
35	94	2.3449	97	2.4266
36	94	2.4411	97	2.3878
37	94	2.4411	97	1.5208
38	94	2.822	97	1.5208
39	94	2.4688	97	2.5183
40	94	2.666	97	1.2543
41	94	2.3102	97	1.1951
42	94	2.3819	97	1.8036
43	93	2.3469	96	1.1994
44	93	2.4433	96	2.4336
45	93	2.3532	96	2.4136
46	93	2.4001	96	1.4375
47	93	3.1621	96	1.6801
48	93	2.5213	96	1.2129
49	93	2.3627	96	2.4233
50	93	2.376	96	2.7952
51	93	2.2999	96	1.2239
52	91	2.3877	96	2.4767
53	91	2.339	96	2.4078
54	91	2.7638	96	1.4053
55	91	2.3428	94	2.4311
56	91	2.6298	94	1.2309
57	91	2.9642	94	2.4413
58	90	2.3528	94	2.7217
59	90	2.3263	94	1.1855
60	90	2.3044	94	2.4664
61	90	2.3201	94	1.6244
62	90	2.339	94	1.4159
63	90	2.361	94	2.5074
64	90	2.3994	94	1.2463
65	90	2.3541	94	2.4338
66	90	2.4265	93	1.3907
67	90	3.1401	93	2.543
68	88	2.56	93	1.1855
69	88	2.3717	93	1.1919
70	88	2.3081	93	2.4245
71	88	2.3393	93	1.4557
72	88	2.7152	93	2.4016
73	88	2.3224	93	1.5277
74	88	2.3224	93	2.9388
75	88	2.3218	93	1.4583
76	86	2.3641	93	2.552
77	86	2.3235	91	1.1623
78	86	2.7508	91	2.5446
79	86	2.6712	91	2.6045
80	86	2.3243	91	2.4391
81	86	2.3001	91	1.1664
82	86	2.287	91	1.1664
83	86	2.2833	91	1.2192
84	85	2.3175	91	1.3778
85	85	2.3275	91	1.1632
86	85	2.7582	91	2.8738
87	85	2.6102	91	1.1683
88	85	2.6419	91	2.6612
89	85	2.32	90	1.2792
90	85	2.3225	90	2.4097
91	85	2.3921	90	1.2286
92	83	2.7866	90	2.6709
93	83	2.2924	90	1.2286
94	83	2.3418	90	2.4249
95	83	2.3128	90	1.2361
96	83	2.6743	90	1.9751
97	83	2.6157	90	1.1906
98	82	2.3023	90	1.1893
99	82	2.3042	88	1.1916
100	82	2.2908	88	2.6131
101	82	2.4029	88	1.2541
102	82	2.3056	88	2.3264
103	82	2.7308	88	1.1673
104	82	2.2914	88	2.5013
105	82	2.4738	88	1.8324
106	82	2.671	88	1.6107
107	82	2.435	88	2.4045
108	82	2.3647	88	1.2441
109	80	2.3125	88	2.6793
110	80	2.3125	88	1.1591
111	80	2.3432	86	2.3637
112	80	2.3217	86	1.2332
113	80	2.3039	86	1.4694
114	80	2.334	86	1.1672
115	80	2.9002	86	2.3506
116	79	2.6165	86	1.523
117	79	2.3785	86	2.8734
118	79	2.3132	86	1.2669
119	79	2.4041	86	2.4121
120	79	2.8475	86	1.2495
121	79	2.2961	86	1.3936
122	79	2.3058	86	2.1531
123	79	2.5086	85	1.5317
124	77	2.6818	85	2.7868
125	77	3.065	85	2.7868
126	77	2.3405	85	1.4192
127	77	2.2925	85	1.4236
128	77	2.3083	85	1.1538
129	77	2.3029	85	1.1761
130	77	2.7122	85	2.384
131	77	2.3417	85	1.326
132	75	2.377	85	2.3977
133	75	2.6123	85	1.1618
134	75	2.6772	83	2.8097
135	75	2.9223	83	1.4329
136	75	2.3643	83	2.4221
137	75	2.3261	83	2.3993
138	74	2.3275	83	1.1673
139	74	2.359	82	1.1904
140	74	2.7973	82	2.6016
141	74	2.3348	82	1.1655
142	74	2.3505	82	1.2265
143	74	2.3934	82	2.3976
144	74	2.6138	82	1.3813
145	74	2.9145	82	2.3649
146	74	2.3203	82	1.3779
147	72	2.3133	82	2.395
148	72	2.2724	82	2.7041
149	72	2.403	82	1.1723
150	72	2.3296	82	1.2646
151	72	2.7732	82	2.4332
152	72	2.3524	82	2.5052
153	72	2.4325	82	1.1852
154	72	2.6233	82	2.4332
155	71	2.4717	82	1.1944
156	71	2.3501	80	1.5033
157	71	2.8837	80	2.4011
158	70	2.3196	80	1.2326
159	70	2.407	80	2.7974
160	70	2.2944	80	2.6747
161	70	2.295	80	1.3312
162	70	2.3896	80	1.1938
163	69	2.3543	80	2.3651
164	69	2.6617	80	1.2402
165	69	2.4581	80	2.464
166	69	2.3763	80	1.6103
167	69	2.4862	79	2.4026
168	69	2.2832	79	1.2449
169	69	2.3835	79	1.2449
170	68	2.7973	79	2.0341
171	68	2.3577	79	1.2541
172	68	2.3292	79	2.3707
173	68	2.6373	79	1.4869
174	68	2.689	79	2.6784
175	68	2.3851	79	1.6269
176	68	2.344	79	1.2185
177	68	2.2447	79	1.3229
178	66	2.3416	79	2.6004
179	66	2.7514	77	1.174
180	66	2.322	77	2.4033
181	66	2.3772	77	1.1605
182	66	2.5284	77	1.2556
183	66	2.5284	77	1.2452
184	66	2.5806	77	1.1857
185	64	2.3668	77	2.4131
186	64	2.3431	77	1.3311
187	64	2.2658	77	2.3389
188	64	2.4093	77	2.4358
189	64	2.6797	77	1.1802
190	64	2.44	75	2.9327
191	64	2.4683	75	1.4092
192	63	2.7184	75	1.2002
193	63	2.5083	75	2.3821
194	63	2.2975	75	1.2351
195	63	2.368	75	2.0601
196	63	2.3492	75	1.2338
197	63	2.2605	75	1.672
198	62	2.5594	75	2.4286
199	61	2.4352	74	3.0378
200	61	2.6328	74	2.4096
201	61	2.4587	74	2.525
202	61	2.753	74	2.4272
203	61	2.2922	74	1.3657
204	61	2.3573	74	2.8756
205	61	2.2816	74	1.21
206	61	2.3057	74	1.2058
207	60	2.2938	74	2.5057
208	60	2.5629	74	2.5431
209	60	2.6799	74	1.1665
210	60	2.3319	74	2.385
211	60	2.2751	74	1.5697
212	60	2.3664	72	1.5728
213	60	2.3477	72	1.4567
214	58	2.3618	72	2.3898
215	58	2.289	72	2.7109
216	58	2.5169	72	1.2028
217	58	2.6859	72	1.4984
218	57	2.3154	72	1.187
219	57	2.3392	71	1.2457
220	57	2.3392	71	2.4877
221	57	2.3324	71	1.1931
222	57	2.3178	71	1.6642
223	57	2.3765	71	1.1651
224	57	2.8217	71	2.4421
225	57	2.498	71	1.1777
226	57	2.8578	71	2.0905
227	57	2.9066	71	1.1928
228	55	2.7218	71	2.7239
229	55	2.2906	71	1.1693
230	55	2.3744	71	2.6107
231	55	2.2779	71	1.3144
232	55	2.2779	71	1.2548
233	55	2.3646	69	2.643
234	55	2.7756	69	1.1816
235	55	2.3686	69	1.4319
