task	p1-non1s_reward	p1-non1s_total_reward	p1-1s_reward	p1-1s_total_reward	p2-non1s_reward	p2-non1s_total_reward	p2-1s_reward	p2-1s_total_reward	p3-non1s_reward	p3-non1s_total_reward	p3-1s_reward	p3-1s_total_reward	p4-non1s_reward	p4-non1s_total_reward	p4-1s_reward	p4-1s_total_reward
12	0.0	1173.033240795	29.468445203391052	1171.767296494791	0.0	1164.08011837	28.805093977269493	1213.1657616872021	0.0	1242.4247998824999	32.88605465284585	1200.59111692194	0.0	1137.9588745525	38.08502520965193	1321.012443130153
13	0.0	1251.164102305	31.830489662084776	1260.627413468111	0.0	1253.9805693025	28.197038019034743	1291.882492823674	0.0	1325.2583640075	29.140867613986384	1281.9427056776522	0.0	1216.4234567225	32.583600382094325	1411.974994196833
14	0.0	1326.051903735	28.42473714970746	1339.979804677711	0.0	1333.5766786225	28.213875887448353	1370.646229676134	0.0	1409.162950195	29.614367467351872	1364.616148190676	0.0	1295.8388130025	37.91317062956131	1517.8159288710249
15	0.0	1403.347095735	30.507481773620416	1425.146524629068	0.0	1432.2804938324998	30.529224441368598	1455.873647908288	0.0	1488.8642350075	30.058182465900895	1448.5285742413162	0.0	1380.1292065275	31.71525358115821	1606.3543451184248
16	0.0	1484.263348425	28.999423555840476	1506.1032487224559	0.0	1531.2931976224997	28.145294171067217	1534.445927469184	0.0	1583.3721108725	31.470645637917134	1536.3841266471682	0.0	1472.1630586649999	31.864919955848595	1695.3105799951688
17	0.0	1591.342615395	31.117895993073677	1592.9740417031198	0.0	1615.9075447124997	28.267400675648954	1613.359087688704	0.0	1668.2050130849998	32.11615965397827	1626.0417390145242	0.0	1566.4890575099998	33.271753863675215	1788.1942261979289
18	0.0	1681.7491738449999	30.151557200112713	1677.1471388867678	0.0	1696.8161142724996	34.7479169084855	1710.363689058226	0.0	1754.2700385274998	33.45495455051462	1719.4368204680443	0.0	1657.5037200149998	32.804215763694806	1879.772661871577
19	0.0	1778.6549137824998	29.245465587486095	1758.7907303184998	0.0	1831.6509125524997	30.94821203027105	1796.7607809760661	0.0	1845.1624242999997	31.33339840566805	1806.9092243505343	0.0	1751.8498425674998	33.12136487285803	1972.2364721416388
20	0.0	1858.2729116574997	30.535984299625795	1844.0370198216217	0.0	1912.6899244374997	28.294068094645972	1875.748387740286	0.0	1930.5608218324996	29.208260835706028	1888.4489525168801	0.0	1838.4291347174997	31.82716281762699	2061.0873016741807
21	0.0	1957.4652703449997	30.300276110973133	1928.6252906314216	0.0	1997.6702945224997	27.835899466989847	1953.456940418966	0.0	2016.8075947174996	34.934075749246574	1985.9732473168601	0.0	1926.7343307224996	33.993857244620415	2155.9868198154127
22	0.0	2052.5378396574997	38.079757710848966	2034.9312809075416	0.0	2085.8037511674997	33.55497225270448	2047.131237957766	0.0	2121.0571152549996	34.30680595195486	2081.746413932734	0.0	2009.0388475949997	31.88136212300848	2244.9889557421448
23	0.0	2146.3093616574997	32.358339202416715	2125.2649778476216	0.0	2169.2267303524995	28.657141160152836	2127.132423696526	0.0	2214.15596974	35.35330928010447	2180.441069006359	0.0	2090.2194391324997	36.63745649335738	2347.268521786101
24	0.0	2241.4213331574997	28.18121316229254	2203.9375312590214	0.0	2264.1663380374994	28.23596986422448	2205.957839567486	0.0	2312.6521679949997	29.535071423964176	2262.8931433982593	0.0	2172.5434914949997	34.61419400614209	2443.8998133865807
25	0.0	2319.521507095	28.865326662204183	2284.5199015243415	0.0	2379.3897021699995	35.17687686431928	2304.159954147044	0.0	2414.2784732299997	29.289013972410267	2344.658307404571	0.0	2252.2196261824997	32.86996875812777	2535.661809503021
26	0.0	2399.239653395	29.604332820465665	2367.1653306481417	0.0	2479.8359109549997	39.506704467202745	2414.4495041179853	0.0	2511.8517080799998	34.09390409437612	2439.8371230013713	0.0	2344.1922372699996	37.094310411968955	2639.2167594031007
27	0.0	2478.878896195	34.574092099710086	2463.684671093166	0.0	2590.7202805899997	33.74073297344955	2508.6423836688655	0.0	2594.677647185	31.516729764451334	2527.8213269271314	0.0	2424.6305915324997	37.51296015675224	2743.9404398407005
28	0.0	2573.466269855	40.73300005152	2577.397629570326	0.0	2673.484292245	30.322018152300892	2593.2913510107055	0.0	2702.629527065	31.27624074211343	2615.1341656655313	0.0	2504.1864380324996	36.3486574081791	2845.4137751052003
