task	reward	total_reward	total_reward_dev
0	95.07438274975999	95.07438274975999	0.0
1	100.12048132599999	195.19486407576	0.0
2	79.16764158374401	274.362505659504	0.0
3	94.76727518761601	369.12978084712	0.0
4	79.35285405360001	448.48263490072003	0.0
5	93.920692886816	542.403327787536	0.0
6	83.43900392025	625.842331707786	0.0
7	80.651873258264	706.49420496605	0.0
8	78.52654925818001	785.02075422423	0.0
9	78.206344611202	863.227098835432	0.0
10	98.585110673684	961.812209509116	0.0
11	78.17069150604	1039.982901015156	0.0
12	78.24956682859798	1118.232467843754	0.0
13	78.93356210586002	1197.166029949614	0.0
14	82.53072753156002	1279.696757481174	0.0
15	82.16661502128	1361.863372502454	0.0
16	78.21457668584999	1440.077949188304	0.0
17	99.21521965526999	1539.293168843574	0.0
18	99.205101446364	1638.498270289938	0.0
19	98.942706710823	1737.440977000761	0.0
20	99.73922667942601	1837.180203680187	0.0
21	78.87208540314899	1916.052289083336	0.0
22	77.408389114218	1993.460678197554	0.0
23	93.69965876348999	2087.160336961044	0.0
24	82.82155950835201	2169.981896469396	0.0
25	78.861834678276	2248.843731147672	0.0
26	81.61004155944602	2330.453772707118	0.0
27	78.80554237138999	2409.259315078508	0.0
28	79.50193201036801	2488.7612470888757	0.0
29	79.10556315983699	2567.8668102487127	0.0
30	77.93196497704801	2645.798775225761	0.0
31	79.20738300477	2725.0061582305307	0.0
32	86.59867783723199	2811.604836067763	0.0
33	77.61434337557999	2889.219179443343	0.0
34	77.579427328128	2966.798606771471	0.0
35	92.07469485018001	3058.873301621651	0.0
36	93.86467516601101	3152.737976787662	0.0
37	93.37780380902402	3246.115780596686	0.0
38	93.05846654092198	3339.174247137608	0.0
39	91.385868599676	3430.560115737284	0.0
40	79.865064911646	3510.42518064893	0.0
41	83.79909643200699	3594.224277080937	0.0
42	82.199081672653	3676.42335875359	0.0
43	107.64810053720801	3784.071459290798	0.0
44	79.61286668668299	3863.684325977481	0.0
45	81.73390438969798	3945.418230367179	0.0
46	78.88966567574401	4024.307896042923	0.0
47	78.04582015104	4102.353716193963	0.0
48	92.150804446024	4194.504520639987	0.0
49	85.02817616568001	4279.532696805667	0.0
50	80.712955599744	4360.245652405411	0.0
