task	r0_energy	r0_config	r0_reward	r0_rate	c0	c1	c2	c3	c4	c5	c6	c7	c8	c9	c10	c11
0	95.07438274975999	0	95.07438274975999	34.056495313346865	1	0	0	0	0	0	0	0	0	0	0	0
1	100.12048132599999	0	195.19486407576	35.864053012298506	1	0	0	0	0	0	0	0	0	0	0	0
2	79.16764158374401	0	274.362505659504	28.358558179251585	1	0	0	0	0	0	0	0	0	0	0	0
3	94.76727518761601	0	369.12978084712	33.94648663436991	1	0	0	0	0	0	0	0	0	0	0	0
4	79.35285405360001	0	448.48263490072003	28.42490294457314	1	0	0	0	0	0	0	0	0	0	0	0
5	93.920692886816	0	542.403327787536	33.64323327288931	1	0	0	0	0	0	0	0	0	0	0	0
6	83.43900392025	0	625.842331707786	29.88859841919403	1	0	0	0	0	0	0	0	0	0	0	0
7	80.651873258264	0	706.49420496605	28.89022325669158	1	0	0	0	0	0	0	0	0	0	0	0
8	78.52654925818001	0	785.02075422423	28.128913167109253	1	0	0	0	0	0	0	0	0	0	0	0
9	78.206344611202	0	863.227098835432	28.014212995057438	1	0	0	0	0	0	0	0	0	0	0	0
10	98.585110673684	0	961.812209509116	35.31406949505099	1	0	0	0	0	0	0	0	0	0	0	0
11	78.17069150604	0	1039.982901015156	28.001441733506862	1	0	0	0	0	0	0	0	0	0	0	0
12	78.24956682859798	0	1118.232467843754	28.029695580393305	1	0	0	0	0	0	0	0	0	0	0	0
13	78.93356210586002	0	1197.166029949614	28.274708814039414	1	0	0	0	0	0	0	0	0	0	0	0
14	82.53072753156002	0	1279.696757481174	29.56324568294687	1	0	0	0	0	0	0	0	0	0	0	0
15	82.16661502128	0	1361.863372502454	29.432817321055524	1	0	0	0	0	0	0	0	0	0	0	0
16	78.21457668584999	0	1440.077949188304	28.01716179791641	1	0	0	0	0	0	0	0	0	0	0	0
17	99.21521965526999	0	1539.293168843574	35.53978017502208	1	0	0	0	0	0	0	0	0	0	0	0
18	99.205101446364	0	1638.498270289938	35.53615574198113	1	0	0	0	0	0	0	0	0	0	0	0
19	98.942706710823	0	1737.440977000761	35.44216359790674	1	0	0	0	0	0	0	0	0	0	0	0
20	99.73922667942601	0	1837.180203680187	35.72748418367499	1	0	0	0	0	0	0	0	0	0	0	0
21	78.87208540314899	0	1916.052289083336	28.25268730859068	1	0	0	0	0	0	0	0	0	0	0	0
22	77.408389114218	0	1993.460678197554	27.728378190167643	1	0	0	0	0	0	0	0	0	0	0	0
23	93.69965876348999	0	2087.160336961044	33.56405687050388	1	0	0	0	0	0	0	0	0	0	0	0
24	82.82155950835201	0	2169.981896469396	29.667424301499224	1	0	0	0	0	0	0	0	0	0	0	0
25	78.861834678276	0	2248.843731147672	28.249015407143645	1	0	0	0	0	0	0	0	0	0	0	0
26	81.61004155944602	0	2330.453772707118	29.23344772278663	1	0	0	0	0	0	0	0	0	0	0	0
27	78.80554237138999	0	2409.259315078508	28.228850998706864	1	0	0	0	0	0	0	0	0	0	0	0
28	79.50193201036801	0	2488.7612470888757	28.478304003713916	1	0	0	0	0	0	0	0	0	0	0	0
29	79.10556315983699	0	2567.8668102487127	28.3363211318819	1	0	0	0	0	0	0	0	0	0	0	0
30	77.93196497704801	0	2645.798775225761	27.915927752972426	1	0	0	0	0	0	0	0	0	0	0	0
31	79.20738300477	0	2725.0061582305307	28.372793912156414	1	0	0	0	0	0	0	0	0	0	0	0
32	86.59867783723199	0	2811.604836067763	31.020421911844295	1	0	0	0	0	0	0	0	0	0	0	0
33	77.61434337557999	0	2889.219179443343	27.802152850954027	1	0	0	0	0	0	0	0	0	0	0	0
34	77.579427328128	0	2966.798606771471	27.789645610075702	1	0	0	0	0	0	0	0	0	0	0	0
35	92.07469485018001	0	3058.873301621651	32.9819802448406	1	0	0	0	0	0	0	0	0	0	0	0
36	93.86467516601101	0	3152.737976787662	33.62316722364573	1	0	0	0	0	0	0	0	0	0	0	0
37	93.37780380902402	0	3246.115780596686	33.448765543530996	1	0	0	0	0	0	0	0	0	0	0	0
38	93.05846654092198	0	3339.174247137608	33.334376074360115	1	0	0	0	0	0	0	0	0	0	0	0
39	91.385868599676	0	3430.560115737284	32.73523651331678	1	0	0	0	0	0	0	0	0	0	0	0
40	79.865064911646	0	3510.42518064893	28.60838146088812	1	0	0	0	0	0	0	0	0	0	0	0
41	83.79909643200699	0	3594.224277080937	30.017586781614444	1	0	0	0	0	0	0	0	0	0	0	0
42	82.199081672653	0	3676.42335875359	29.44444716632346	1	0	0	0	0	0	0	0	0	0	0	0
43	107.64810053720801	0	3784.071459290798	38.560513625268534	1	0	0	0	0	0	0	0	0	0	0	0
44	79.61286668668299	0	3863.684325977481	28.518041798214803	1	0	0	0	0	0	0	0	0	0	0	0
45	81.73390438969798	0	3945.418230367179	29.277816497802267	1	0	0	0	0	0	0	0	0	0	0	0
46	78.88966567574401	0	4024.307896042923	28.258984719669506	1	0	0	0	0	0	0	0	0	0	0	0
47	78.04582015104	0	4102.353716193963	27.956711695894924	1	0	0	0	0	0	0	0	0	0	0	0
48	92.150804446024	0	4194.504520639987	33.009243383650386	1	0	0	0	0	0	0	0	0	0	0	0
49	85.02817616568001	0	4279.532696805667	30.4578541489003	1	0	0	0	0	0	0	0	0	0	0	0
50	80.712955599744	0	4360.245652405411	28.91210349841576	1	0	0	0	0	0	0	0	0	0	0	0
