task	reward	total_reward	total_reward_dev
0	81.014811015208	81.014811015208	0.0
1	88.473892184586	169.488703199794	0.0
2	81.487251484128	250.975954683922	0.0
3	112.62346230257398	363.59941698649595	0.0
4	81.44761042966198	445.0470274161579	0.0
5	77.850795539754	522.8978229559119	0.0
6	77.97675083566799	600.8745737915799	0.0
7	81.6848451174	682.5594189089799	0.0
8	83.55748097045999	766.1168998794399	0.0
9	94.75622977884001	860.8731296582798	0.0
10	79.52742690059999	940.4005565588798	0.0
11	79.6760043261	1020.0765608849798	0.0
12	96.7837954965	1116.8603563814797	0.0
13	80.23995084629999	1197.1003072277797	0.0
14	83.21847147432	1280.3187787020997	0.0
15	94.76136936818999	1375.0801480702896	0.0
16	118.101167429427	1493.1813154997167	0.0
17	98.24324872338899	1591.4245642231056	0.0
18	83.21358728528999	1674.6381515083956	0.0
19	79.323066508833	1753.9612180172285	0.0
20	79.83000990341999	1833.7912279206485	0.0
21	85.670515219968	1919.4617431406164	0.0
22	78.7841262432	1998.2458693838164	0.0
23	92.7625536837	2091.0084230675166	0.0
24	79.514001571	2170.5224246385164	0.0
25	80.56953026035	2251.0919548988663	0.0
26	83.2956801815	2334.387635080366	0.0
27	95.56170480699998	2429.949339887366	0.0
28	79.13916514390002	2509.088505031266	0.0
29	79.602086672064	2588.69059170333	0.0
30	81.352555301072	2670.043147004402	0.0
31	78.75959375592001	2748.8027407603217	0.0
32	79.399399655048	2828.2021404153697	0.0
33	98.32926822105199	2926.531408636422	0.0
34	101.79289404746001	3028.324302683882	0.0
35	98.097894866664	3126.4221975505457	0.0
36	95.24500961414999	3221.667207164696	0.0
37	108.15845171257499	3329.8256588772706	0.0
38	78.76060401561001	3408.5862628928808	0.0
39	101.359808029645	3509.946070922526	0.0
40	79.104039985152	3589.050110907678	0.0
41	78.485262820965	3667.535373728643	0.0
42	78.378525998682	3745.9138997273253	0.0
43	82.66377850002	3828.577678227345	0.0
44	85.68343005793201	3914.2611082852773	0.0
45	84.34819199679299	3998.6093002820703	0.0
46	79.48124389217399	4078.0905441742443	0.0
47	78.725004612543	4156.815548786787	0.0
48	84.38175908405398	4241.197307870841	0.0
49	79.76055995285402	4320.957867823695	0.0
50	78.84545063472001	4399.803318458415	0.0
51	95.66030117061001	4495.463619629025	0.0
52	101.560322921904	4597.023942550929	0.0
53	97.32719944232998	4694.351141993259	0.0
54	94.92165533927998	4789.272797332539	0.0
55	79.34029530669002	4868.613092639229	0.0
56	81.549684959232	4950.162777598461	0.0
57	86.57821968213601	5036.740997280596	0.0
58	93.44376943272002	5130.184766713316	0.0
59	77.98018203475199	5208.164948748068	0.0
60	78.38923580568	5286.554184553748	0.0
61	84.3028321791	5370.857016732848	0.0
62	92.441497593918	5463.298514326766	0.0
