task	r0_energy	r0_config	r0_reward	r0_rate	c0	c1	c2	c3	c4	c5	c6	c7	c8	c9	c10	c11
0	81.014811015208	11	81.014811015208	29.02023081141779	0	0	0	0	0	0	0	0	0	0	0	1
1	88.473892184586	11	169.488703199794	31.69214048403081	0	0	0	0	0	0	0	0	0	0	0	1
2	81.487251484128	11	250.975954683922	29.189463218195105	0	0	0	0	0	0	0	0	0	0	0	1
3	112.62346230257398	11	363.59941698649595	40.34273276510114	0	0	0	0	0	0	0	0	0	0	0	1
4	81.44761042966198	11	445.0470274161579	29.175263437490855	0	0	0	0	0	0	0	0	0	0	0	1
5	77.850795539754	11	522.8978229559119	27.88685213364322	0	0	0	0	0	0	0	0	0	0	0	1
6	77.97675083566799	11	600.8745737915799	27.931970448597486	0	0	0	0	0	0	0	0	0	0	0	1
7	81.6848451174	11	682.5594189089799	29.260243027128357	0	0	0	0	0	0	0	0	0	0	0	1
8	83.55748097045999	11	766.1168998794399	29.93103795956776	0	0	0	0	0	0	0	0	0	0	0	1
9	94.75622977884001	11	860.8731296582798	33.94253007003224	0	0	0	0	0	0	0	0	0	0	0	1
10	79.52742690059999	11	940.4005565588798	28.487436501707467	0	0	0	0	0	0	0	0	0	0	0	1
11	79.6760043261	11	1020.0765608849798	28.54065826606567	0	0	0	0	0	0	0	0	0	0	0	1
12	96.7837954965	11	1116.8603563814797	34.66882226740299	0	0	0	0	0	0	0	0	0	0	0	1
13	80.23995084629999	11	1197.1003072277797	28.742668959868652	0	0	0	0	0	0	0	0	0	0	0	1
14	83.21847147432	11	1280.3187787020997	29.80960172214448	0	0	0	0	0	0	0	0	0	0	0	1
15	94.76136936818999	11	1375.0801480702896	33.94437111696358	0	0	0	0	0	0	0	0	0	0	0	1
16	118.101167429427	11	1493.1813154997167	42.30489579561564	0	0	0	0	0	0	0	0	0	0	0	1
17	98.24324872338899	11	1591.4245642231056	35.19161148300501	0	0	0	0	0	0	0	0	0	0	0	1
18	83.21358728528999	11	1674.6381515083956	29.80785216189492	0	0	0	0	0	0	0	0	0	0	0	1
19	79.323066508833	11	1753.9612180172285	28.414232779283463	0	0	0	0	0	0	0	0	0	0	0	1
20	79.83000990341999	11	1833.7912279206485	28.595824443016113	0	0	0	0	0	0	0	0	0	0	0	1
21	85.670515219968	11	1919.4617431406164	30.687945750436295	0	0	0	0	0	0	0	0	0	0	0	1
22	78.7841262432	11	1998.2458693838164	28.221179549802986	0	0	0	0	0	0	0	0	0	0	0	1
23	92.7625536837	11	2091.0084230675166	33.22837743893731	0	0	0	0	0	0	0	0	0	0	0	1
24	79.514001571	11	2170.5224246385164	28.482627428417906	0	0	0	0	0	0	0	0	0	0	0	1
25	80.56953026035	11	2251.0919548988663	28.86072725743881	0	0	0	0	0	0	0	0	0	0	0	1
26	83.2956801815	11	2334.387635080366	29.837258572477612	0	0	0	0	0	0	0	0	0	0	0	1
27	95.56170480699998	11	2429.949339887366	34.231058438328354	0	0	0	0	0	0	0	0	0	0	0	1
28	79.13916514390002	11	2509.088505031266	28.34835766348657	0	0	0	0	0	0	0	0	0	0	0	1
29	79.602086672064	11	2588.69059170333	28.514180300440835	0	0	0	0	0	0	0	0	0	0	0	1
30	81.352555301072	11	2670.043147004402	29.141213839189966	0	0	0	0	0	0	0	0	0	0	0	1
31	78.75959375592001	11	2748.8027407603217	28.212391793165374	0	0	0	0	0	0	0	0	0	0	0	1
32	79.399399655048	11	2828.2021404153697	28.44157599583809	0	0	0	0	0	0	0	0	0	0	0	1
33	98.32926822105199	11	2926.531408636422	35.22242443739176	0	0	0	0	0	0	0	0	0	0	0	1
34	101.79289404746001	11	3028.324302683882	36.46312622595582	0	0	0	0	0	0	0	0	0	0	0	1
35	98.097894866664	11	3126.4221975505457	35.13954442984979	0	0	0	0	0	0	0	0	0	0	0	1
