task	r0_energy	r0_config	r0_reward	r0_rate	c0	c1	c2	c3	c4	c5	c6	c7	c8	c9	c10	c11
0	91.32487346454899	0	91.32487346454899	32.713387509689184	1	0	0	0	0	0	0	0	0	0	0	0
1	82.94797748355498	0	174.27285094810395	29.712708352318206	1	0	0	0	0	0	0	0	0	0	0	0
2	82.525630983916	0	256.79848193201997	29.56142005394006	1	0	0	0	0	0	0	0	0	0	0	0
3	93.03169751016999	0	349.83017944218994	33.32478716782209	1	0	0	0	0	0	0	0	0	0	0	0
4	81.97096400776	0	431.80114344994996	29.362733375914033	1	0	0	0	0	0	0	0	0	0	0	0
5	83.08810481152	0	514.8892482614699	29.762903216066864	1	0	0	0	0	0	0	0	0	0	0	0
6	79.08591524638999	0	593.9751635078599	28.32928307333373	1	0	0	0	0	0	0	0	0	0	0	0
7	86.91284603384999	0	680.8880095417098	31.132959773319403	1	0	0	0	0	0	0	0	0	0	0	0
8	80.95020547572001	0	761.8382150174299	28.997088528616125	1	0	0	0	0	0	0	0	0	0	0	0
9	80.34914562393601	0	842.1873606413659	28.78178350708156	1	0	0	0	0	0	0	0	0	0	0	0
10	83.97463663683199	0	926.1619972781979	30.080466854984596	1	0	0	0	0	0	0	0	0	0	0	0
11	79.934293802416	0	1006.0962910806138	28.633179869522145	1	0	0	0	0	0	0	0	0	0	0	0
12	90.02287158278402	0	1096.119162663398	32.24699877592264	1	0	0	0	0	0	0	0	0	0	0	0
13	79.95990968857599	0	1176.079072351974	28.642355709340645	1	0	0	0	0	0	0	0	0	0	0	0
14	87.699630346095	0	1263.778702698069	31.414792959795225	1	0	0	0	0	0	0	0	0	0	0	0
15	83.88687064972501	0	1347.6655733477942	30.049028292438805	1	0	0	0	0	0	0	0	0	0	0	0
16	103.52026095776499	0	1451.1858343055592	37.08188452218447	1	0	0	0	0	0	0	0	0	0	0	0
17	93.49271997037502	0	1544.6785542759342	33.48992954162688	1	0	0	0	0	0	0	0	0	0	0	0
18	133.53308445582002	0	1678.2116387317542	47.8327466707415	1	0	0	0	0	0	0	0	0	0	0	0
19	92.65207301406001	0	1770.8637117458143	33.18880227369314	1	0	0	0	0	0	0	0	0	0	0	0
20	80.31591841423501	0	1851.1796301600493	28.769881223009556	1	0	0	0	0	0	0	0	0	0	0	0
21	79.70373064385998	0	1930.8833608039092	28.55059008138268	1	0	0	0	0	0	0	0	0	0	0	0
22	84.808833635448	0	2015.6921944393573	30.379283690309727	1	0	0	0	0	0	0	0	0	0	0	0
23	100.92806242171199	0	2116.6202568610693	36.15333579285206	1	0	0	0	0	0	0	0	0	0	0	0
24	79.88966946279	0	2196.5099263238594	28.617195031447167	1	0	0	0	0	0	0	0	0	0	0	0
25	79.934699701584	0	2276.4446260254435	28.633325266239044	1	0	0	0	0	0	0	0	0	0	0	0
26	91.423798279344	0	2367.8684243047874	32.74882326424263	1	0	0	0	0	0	0	0	0	0	0	0
27	87.55594705977201	0	2455.424371364559	31.363324319918338	1	0	0	0	0	0	0	0	0	0	0	0
28	77.97950383582801	0	2533.403875200387	27.93295659790854	1	0	0	0	0	0	0	0	0	0	0	0
29	81.869977487536	0	2615.273852687923	29.32655910001289	1	0	0	0	0	0	0	0	0	0	0	0
30	101.00541408257799	0	2716.2792667705007	36.1810438504757	1	0	0	0	0	0	0	0	0	0	0	0
31	84.948342875424	0	2801.2276096459245	30.429257149405615	1	0	0	0	0	0	0	0	0	0	0	0
32	79.762203477327	0	2880.9898131232517	28.571535573967886	1	0	0	0	0	0	0	0	0	0	0	0
33	78.68408118120001	0	2959.6738943044516	28.185342512668665	1	0	0	0	0	0	0	0	0	0	0	0
34	78.560141832144	0	3038.2340361365955	28.140946327932184	1	0	0	0	0	0	0	0	0	0	0	0
35	111.142287783568	0	3149.3763239201635	39.812162788143766	1	0	0	0	0	0	0	0	0	0	0	0
36	94.34047058540999	0	3243.7167945055735	33.79360140372895	1	0	0	0	0	0	0	0	0	0	0	0
37	93.58347288426602	0	3337.3002673898395	33.52243804809529	1	0	0	0	0	0	0	0	0	0	0	0
38	97.1959106599	0	3434.4961780497397	34.816445609516414	1	0	0	0	0	0	0	0	0	0	0	0
39	80.591759599755	0	3515.0879376494945	28.86869000588239	1	0	0	0	0	0	0	0	0	0	0	0
40	78.93413339945499	0	3594.0220710489493	28.274913456521194	1	0	0	0	0	0	0	0	0	0	0	0
41	104.29286576669999	0	3698.314936815649	37.35863848359402	1	0	0	0	0	0	0	0	0	0	0	0
42	78.94795157040001	0	3777.2628883860493	28.279863249098508	1	0	0	0	0	0	0	0	0	0	0	0
43	81.20397469836999	0	3858.4668630844194	29.08799093672955	1	0	0	0	0	0	0	0	0	0	0	0
44	78.09266057065201	0	3936.5595236550716	27.973490353666396	1	0	0	0	0	0	0	0	0	0	0	0
45	78.915959097607	0	4015.4754827526785	28.268403258844298	1	0	0	0	0	0	0	0	0	0	0	0
46	79.057827744758	0	4094.5333104974366	28.319221878719283	1	0	0	0	0	0	0	0	0	0	0	0
47	86.00797439685999	0	4180.541284894297	30.808826649621494	1	0	0	0	0	0	0	0	0	0	0	0
48	78.35381345862001	0	4258.895098352917	28.06703765681911	1	0	0	0	0	0	0	0	0	0	0	0
49	78.841254358368	0	4337.736352711285	28.241643352251227	1	0	0	0	0	0	0	0	0	0	0	0
50	87.58909597115999	0	4425.325448682444	31.375198556833432	1	0	0	0	0	0	0	0	0	0	0	0
