task	reward	total_reward	total_reward_dev
0	80.11430631327202	80.11430631327202	0.0
1	77.27994243726499	157.39424875053703	0.0
2	75.79875119256	233.19299994309705	0.0
3	77.45814829041599	310.651148233513	0.0
4	76.419677518464	387.07082575197705	0.0
5	89.478367746267	476.54919349824405	0.0
6	84.559208295654	561.1084017938981	0.0
7	97.87193754508802	658.9803393389861	0.0
8	87.990699324375	746.9710386633611	0.0
9	79.34492994321602	826.3159686065771	0.0
10	77.75802614437201	904.0739947509492	0.0
11	88.999586307558	993.0735810585072	0.0
12	79.42911277869001	1072.5026938371973	0.0
13	79.693170224604	1152.1958640618013	0.0
14	91.72918463148001	1243.9250486932813	0.0
15	92.704795593732	1336.6298442870134	0.0
16	92.267731490432	1428.8975757774454	0.0
17	99.70832292175699	1528.6058986992023	0.0
18	76.48795496670601	1605.0938536659082	0.0
19	74.35608790872	1679.4499415746282	0.0
20	80.74613436402001	1760.1960759386482	0.0
21	74.67868368912	1834.874759627768	0.0
22	77.49316880572	1912.367928433488	0.0
23	75.348483189368	1987.716411622856	0.0
24	98.049458705818	2085.765870328674	0.0
25	75.68456243140803	2161.4504327600816	0.0
26	75.746350907136	2237.1967836672175	0.0
27	75.957252849088	2313.1540365163055	0.0
28	94.60735266611199	2407.7613891824176	0.0
29	78.00304178222399	2485.7644309646416	0.0
30	105.91210046102398	2591.6765314256654	0.0
31	91.543616480784	2683.2201479064493	0.0
32	80.74753686583999	2763.9676847722894	0.0
33	75.96192627878399	2839.9296110510736	0.0
34	89.91665647146	2929.8462675225337	0.0
35	91.404324476751	3021.2505919992846	0.0
36	94.075483403538	3115.3260754028224	0.0
37	97.126328043108	3212.4524034459305	0.0
38	75.13290419181301	3287.5853076377434	0.0
39	85.92752388297	3373.5128315207135	0.0
40	87.77818138088999	3461.2910129016036	0.0
41	77.64612631053001	3538.937139212134	0.0
42	74.64916254146402	3613.586301753598	0.0
43	77.39128563354	3690.977587387138	0.0
44	81.57508708628	3772.552674473418	0.0
45	74.845500218172	3847.39817469159	0.0
46	75.326287214726	3922.7244619063163	0.0
47	76.82823031404	3999.552692220356	0.0
48	84.36503967343201	4083.917731893788	0.0
49	75.99868052517598	4159.916412418964	0.0
50	75.44805245259602	4235.36446487156	0.0
51	76.40812545052502	4311.772590322085	0.0
52	84.42570938220301	4396.198299704289	0.0
53	96.48652500823201	4492.684824712521	0.0
54	90.83843296281	4583.523257675331	0.0
55	90.93427692668	4674.45753460201	0.0
56	86.73295035391999	4761.1904849559305	0.0
57	75.55490762367998	4836.745392579611	0.0
58	90.99238671576	4927.737779295371	0.0
59	89.325461330496	5017.063240625867	0.0
60	99.16335701226	5116.226597638128	0.0
61	78.5385770577	5194.765174695828	0.0
62	75.05122100995499	5269.816395705783	0.0
