task	r0_energy	r0_config	r0_reward	r0_rate	c0	c1	c2	c3	c4	c5	c6	c7	c8	c9	c10	c11
0	80.11430631327202	11	80.11430631327202	28.697661962963114	0	0	0	0	0	0	0	0	0	0	0	1
1	77.27994243726499	11	157.39424875053703	27.68236744021433	0	0	0	0	0	0	0	0	0	0	0	1
2	75.79875119256	11	233.19299994309705	27.151791471961793	0	0	0	0	0	0	0	0	0	0	0	1
3	77.45814829041599	11	310.651148233513	27.746202372686326	0	0	0	0	0	0	0	0	0	0	0	1
4	76.419677518464	11	387.07082575197705	27.374212842434858	0	0	0	0	0	0	0	0	0	0	0	1
5	89.478367746267	11	476.54919349824405	32.05195262552847	0	0	0	0	0	0	0	0	0	0	0	1
6	84.559208295654	11	561.1084017938981	30.289865658144713	0	0	0	0	0	0	0	0	0	0	0	1
7	97.87193754508802	11	658.9803393389861	35.05860449376287	0	0	0	0	0	0	0	0	0	0	0	1
8	87.990699324375	11	746.9710386633611	31.519056474402987	0	0	0	0	0	0	0	0	0	0	0	1
9	79.34492994321602	11	826.3159686065771	28.422064457271404	0	0	0	0	0	0	0	0	0	0	0	1
10	77.75802614437201	11	904.0739947509492	27.85362130544669	0	0	0	0	0	0	0	0	0	0	0	1
11	88.999586307558	11	993.0735810585072	31.88044882658794	0	0	0	0	0	0	0	0	0	0	0	1
12	79.42911277869001	11	1072.5026938371973	28.452219502814334	0	0	0	0	0	0	0	0	0	0	0	1
13	79.693170224604	11	1152.1958640618013	28.546807244634273	0	0	0	0	0	0	0	0	0	0	0	1
14	91.72918463148001	11	1243.9250486932813	32.858215390380906	0	0	0	0	0	0	0	0	0	0	0	1
15	92.704795593732	11	1336.6298442870134	33.20768797387415	0	0	0	0	0	0	0	0	0	0	0	1
16	92.267731490432	11	1428.8975757774454	33.05112769806519	0	0	0	0	0	0	0	0	0	0	0	1
17	99.70832292175699	11	1528.6058986992023	35.71641418092787	0	0	0	0	0	0	0	0	0	0	0	1
18	76.48795496670601	11	1605.0938536659082	27.398670435834987	0	0	0	0	0	0	0	0	0	0	0	1
19	74.35608790872	11	1679.4499415746282	26.635016564317617	0	0	0	0	0	0	0	0	0	0	0	1
20	80.74613436402001	11	1760.1960759386482	28.92398842890269	0	0	0	0	0	0	0	0	0	0	0	1
21	74.67868368912	11	1834.874759627768	26.75057326177433	0	0	0	0	0	0	0	0	0	0	0	1
22	77.49316880572	11	1912.367928433488	27.758747034884774	0	0	0	0	0	0	0	0	0	0	0	1
23	75.348483189368	11	1987.716411622856	26.99050144096764	0	0	0	0	0	0	0	0	0	0	0	1
24	98.049458705818	11	2085.765870328674	35.12219416327808	0	0	0	0	0	0	0	0	0	0	0	1
25	75.68456243140803	11	2161.4504327600816	27.11088803513123	0	0	0	0	0	0	0	0	0	0	0	1
26	75.746350907136	11	2237.1967836672175	27.13302122046663	0	0	0	0	0	0	0	0	0	0	0	1
27	75.957252849088	11	2313.1540365163055	27.20856818474794	0	0	0	0	0	0	0	0	0	0	0	1
28	94.60735266611199	11	2407.7613891824176	33.88920095502519	0	0	0	0	0	0	0	0	0	0	0	1
29	78.00304178222399	11	2485.7644309646416	27.941388101095157	0	0	0	0	0	0	0	0	0	0	0	1
30	105.91210046102398	11	2591.6765314256654	37.93866285171008	0	0	0	0	0	0	0	0	0	0	0	1
31	91.543616480784	11	2683.2201479064493	32.79174321699726	0	0	0	0	0	0	0	0	0	0	0	1
32	80.74753686583999	11	2763.9676847722894	28.92449081761432	0	0	0	0	0	0	0	0	0	0	0	1
33	75.96192627878399	11	2839.9296110510736	27.210242249116654	0	0	0	0	0	0	0	0	0	0	0	1
34	89.91665647146	11	2929.8462675225337	32.20895157186627	0	0	0	0	0	0	0	0	0	0	0	1
35	91.404324476751	11	3021.2505919992846	32.741847573761554	0	0	0	0	0	0	0	0	0	0	0	1
36	94.075483403538	11	3115.3260754028224	33.69868062216287	0	0	0	0	0	0	0	0	0	0	0	1
37	97.126328043108	11	3212.4524034459305	34.79152049305362	0	0	0	0	0	0	0	0	0	0	0	1
38	75.13290419181301	11	3287.5853076377434	26.913279113485256	0	0	0	0	0	0	0	0	0	0	0	1
39	85.92752388297	11	3373.5128315207135	30.780008555093726	0	0	0	0	0	0	0	0	0	0	0	1
40	87.77818138088999	11	3461.2910129016036	31.44293064390089	0	0	0	0	0	0	0	0	0	0	0	1
41	77.64612631053001	11	3538.937139212134	27.81353778287642	0	0	0	0	0	0	0	0	0	0	0	1
42	74.64916254146402	11	3613.586301753598	26.73999852231547	0	0	0	0	0	0	0	0	0	0	0	1
43	77.39128563354	11	3690.977587387138	27.722251570223285	0	0	0	0	0	0	0	0	0	0	0	1
44	81.57508708628	11	3772.552674473418	29.22092671747344	0	0	0	0	0	0	0	0	0	0	0	1
