task	r0_energy	r0_config	r0_reward	r0_rate	r0_avgrate	r0_rollrate	c0	c1	c2	c3	c4	c5	c6	c7	c8	c9	c10	c11
0	0.0	0	89.3620739375	0.0	0.0	0.0	1	0	0	0	0	0	0	0	0	0	0	0
1	0.0	0	186.48878543749998	0.0	0.0	0.0	1	0	0	0	0	0	0	0	0	0	0	0
2	0.0	0	284.274137875	0.0	0.0	0.0	1	0	0	0	0	0	0	0	0	0	0	0
3	0.0	0	394.49478818750003	0.0	0.0	0.0	1	0	0	0	0	0	0	0	0	0	0	0
4	0.0	0	479.52552943750004	0.0	0.0	0.0	1	0	0	0	0	0	0	0	0	0	0	0
5	0.0	0	562.1410795	0.0	0.0	0.0	1	0	0	0	0	0	0	0	0	0	0	0
6	0.0	0	648.2822827	0.0	0.0	0.0	1	0	0	0	0	0	0	0	0	0	0	0
7	0.0	0	734.9617639	0.0	0.0	0.0	1	0	0	0	0	0	0	0	0	0	0	0
8	0.0	0	819.1492270000001	0.0	0.0	0.0	1	0	0	0	0	0	0	0	0	0	0	0
9	0.0	0	913.3045012000001	0.0	0.0	0.0	1	0	0	0	0	0	0	0	0	0	0	0
10	0.0	0	994.1990813300001	0.0	0.0	0.0	1	0	0	0	0	0	0	0	0	0	0	0
11	0.0	0	1096.35033872	0.0	0.0	0.0	1	0	0	0	0	0	0	0	0	0	0	0
12	0.0	0	1173.033240795	0.0	0.0	0.0	1	0	0	0	0	0	0	0	0	0	0	0
13	0.0	0	1251.164102305	0.0	0.0	0.0	1	0	0	0	0	0	0	0	0	0	0	0
14	0.0	0	1326.051903735	0.0	0.0	0.0	1	0	0	0	0	0	0	0	0	0	0	0
15	0.0	0	1403.347095735	0.0	0.0	0.0	1	0	0	0	0	0	0	0	0	0	0	0
16	0.0	0	1484.263348425	0.0	0.0	0.0	1	0	0	0	0	0	0	0	0	0	0	0
17	0.0	0	1591.342615395	0.0	0.0	0.0	1	0	0	0	0	0	0	0	0	0	0	0
18	0.0	0	1681.7491738449999	0.0	0.0	0.0	1	0	0	0	0	0	0	0	0	0	0	0
19	0.0	0	1778.6549137824998	0.0	0.0	0.0	1	0	0	0	0	0	0	0	0	0	0	0
20	0.0	0	1858.2729116574997	0.0	0.0	0.0	1	0	0	0	0	0	0	0	0	0	0	0
21	0.0	0	1957.4652703449997	0.0	0.0	0.0	1	0	0	0	0	0	0	0	0	0	0	0
22	0.0	0	2052.5378396574997	0.0	0.0	0.0	1	0	0	0	0	0	0	0	0	0	0	0
23	0.0	0	2146.3093616574997	0.0	0.0	0.0	1	0	0	0	0	0	0	0	0	0	0	0
24	0.0	0	2241.4213331574997	0.0	0.0	0.0	1	0	0	0	0	0	0	0	0	0	0	0
25	0.0	0	2319.521507095	0.0	0.0	0.0	1	0	0	0	0	0	0	0	0	0	0	0
26	0.0	0	2399.239653395	0.0	0.0	0.0	1	0	0	0	0	0	0	0	0	0	0	0
27	0.0	0	2478.878896195	0.0	0.0	0.0	1	0	0	0	0	0	0	0	0	0	0	0
28	0.0	0	2573.466269855	0.0	0.0	0.0	1	0	0	0	0	0	0	0	0	0	0	0
29	0.0	0	2652.5082324	0.0	0.0	0.0	1	0	0	0	0	0	0	0	0	0	0	0
