task	reward	total_reward	total_reward_dev	joules
0	29.707332425408946	82.93296968759998	0.0	82.93296968759998
1	30.41035972149492	167.82855724343997	0.0	84.89558755584
2	29.813376157707225	251.057565683706	0.0	83.22900844026601
3	30.110704350559526	335.11661532901803	0.0	84.059049645312
4	30.924883520562616	421.44858182392204	0.0	86.331966494904
5	38.93046585561028	530.1294656708341	0.0	108.68088384691201
6	49.45012956988549	668.1777440534311	0.0	138.048278382597
7	36.28779977481672	769.481185091461	0.0	101.30344103803
8	33.002448516051935	861.613020532106	0.0	92.13183544064499
9	30.415594286501737	946.5232212485901	0.0	84.910200716484
10	29.08149673845062	1027.709066310098	0.0	81.18584506150799
11	29.041844073784123	1108.784214349412	0.0	81.07514803931402
12	32.88605465284585	1200.59111692194	0.0	91.806902572528
13	29.140867613986384	1281.9427056776522	0.0	81.35158875571199
14	29.614367467351872	1364.616148190676	0.0	82.67344251302399
15	30.058182465900895	1448.5285742413162	0.0	83.91242605064
16	31.470645637917134	1536.3841266471682	0.0	87.85555240585201
17	32.11615965397827	1626.0417390145242	0.0	89.657612367356
18	33.45495455051462	1719.4368204680443	0.0	93.39508145352
19	31.33339840566805	1806.9092243505343	0.0	87.47240388248998
20	29.208260835706028	1888.4489525168801	0.0	81.53972816634598
21	34.934075749246574	1985.9732473168601	0.0	97.52429479998001
22	34.30680595195486	2081.746413932734	0.0	95.77316661587399
23	35.35330928010447	2180.441069006359	0.0	98.694655073625
24	29.535071423964176	2262.8931433982593	0.0	82.45207439189998
25	29.289013972410267	2344.658307404571	0.0	81.76516400631199
26	34.09390409437612	2439.8371230013713	0.0	95.17881559679999
27	31.516729764451334	2527.8213269271314	0.0	87.98420392575999
28	31.27624074211343	2615.1341656655313	0.0	87.31283873839999
29	35.61045003672072	2714.5466720180434	0.0	99.412506352512
30	39.68050949999283	2825.3214277055235	0.0	110.77475568748
31	31.26898466852238	2912.6140099051486	0.0	87.29258219962499
32	32.28179330932835	3002.7340162270234	0.0	90.120006321875
33	31.286781569104487	3090.0762814407735	0.0	87.34226521375001
34	29.41782702662686	3172.2010485567735	0.0	82.12476711599999
35	29.874377521343284	3255.6003524705234	0.0	83.39930391375
36	28.470465279863635	3335.0804013768093	0.0	79.480048906286
37	29.31357764089791	3416.9141389576494	0.0	81.83373758084
38	34.68314027691403	3513.7379055640345	0.0	96.82376660638499
39	35.405155489536	3612.5772979723224	0.0	98.83939240828799
40	29.770550111618157	3695.6867503672565	0.0	83.10945239493401
41	29.443437608293614	3777.8830136904094	0.0	82.196263323153
42	30.50314388735105	3863.037623709264	0.0	85.15461001885501
43	31.006871075219106	3949.598472127584	0.0	86.56084841832
44	31.525755226425677	4037.607872134689	0.0	88.00940000710501
45	37.45642440320597	4142.173723593639	0.0	104.56585145895
46	32.22793444767045	4232.143373926719	0.0	89.96965033308
47	31.120517314343278	4319.021484762594	0.0	86.87811083587499
48	31.237899792659107	4406.227288350434	0.0	87.20580358784
49	29.896761281308653	4489.689080260754	0.0	83.46179191032
50	30.74065012808167	4575.506728534982	0.0	85.817648274228
51	34.69654184359164	4672.367907848342	0.0	96.86117931335998
52	29.147108028007167	4753.736917759862	0.0	81.36900991152
53	34.89807735234483	4851.160717035158	0.0	97.42379927529599
54	34.284002062163104	4946.87022279203	0.0	95.70950575687199
55	35.181836308580785	5045.086182486818	0.0	98.21595969478801
56	28.83041397401481	5125.571088164276	0.0	80.484905677458
57	30.60711186534806	5211.015942121706	0.0	85.44485395743
58	29.24762524053421	5292.665562584863	0.0	81.64962046315799
59	34.79511498117491	5389.801925240643	0.0	97.13636265577998
60	30.268348218247155	5474.301064016583	0.0	84.49913877593998
61	34.01393166306089	5569.256623242628	0.0	94.95555922604498
62	67.15804324549433	5756.739493969633	0.0	187.482870727005
63	37.673513852131336	5861.911386806833	0.0	105.17189283719999
64	41.16539224848357	5976.831440167183	0.0	114.92005336034998
65	30.46364180769815	6061.875773547007	0.0	85.044333379824
66	30.318083991059094	6146.513758022047	0.0	84.63798447503999
67	32.152265934570266	6236.272167089389	0.0	89.75840906734199
68	36.55387833655522	6338.318410778938	0.0	102.04624368955
69	31.376189006667218	6425.910271755884	0.0	87.591860976946
70	38.5497775247194	6533.52840067906	0.0	107.61812892317501
71	37.310293638831766	6637.686303754132	0.0	104.157903075072
72	37.78217809418865	6743.161550933742	0.0	105.47524717961
