task	r0_energy	r0_config	r0_reward	r0_rate	r0_avgrate	r0_rollrate	c0	c1	c2	c3	c4	c5	c6	c7	c8	c9	c10	c11
0	39.02401705978746	11	108.94204762524	39.02401705978746	39.02401705978746	39.02401705978746	0	0	0	0	0	0	0	0	0	0	0	1
1	34.61444729322842	11	205.574046318836	34.61444729322842	36.81923217650794	36.81923217650794	0	0	0	0	0	0	0	0	0	0	0	1
2	36.45530625440095	11	307.34510961237197	36.45530625440095	36.69792353580561	36.69792353580561	0	0	0	0	0	0	0	0	0	0	0	1
3	34.30723962357135	11	403.119486894842	34.30723962357135	36.10025255774704	36.10025255774704	0	0	0	0	0	0	0	0	0	0	0	1
4	34.94645935629277	11	500.678352597826	34.94645935629277	35.86949391745618	35.86949391745618	0	0	0	0	0	0	0	0	0	0	0	1
5	33.40062517980896	11	593.921764558126	33.40062517980896	35.458015794514985	35.458015794514985	0	0	0	0	0	0	0	0	0	0	0	1
6	40.425625631137436	11	706.7766361117181	40.425625631137436	36.1676743426039	36.1676743426039	0	0	0	0	0	0	0	0	0	0	0	1
7	39.84764852443702	11	818.017988242438	39.84764852443702	36.627671115333044	36.627671115333044	0	0	0	0	0	0	0	0	0	0	0	1
8	32.69078488285254	11	909.279762707068	32.69078488285254	36.1902393117241	36.1902393117241	0	0	0	0	0	0	0	0	0	0	0	1
9	33.173462739943886	11	1001.889012856078	33.173462739943886	35.88856165454608	35.88856165454608	0	0	0	0	0	0	0	0	0	0	0	1
10	36.72797004651225	11	1104.421262569258	36.72797004651225	35.964871508361185	35.65895695321856	0	0	0	0	0	0	0	0	0	0	0	1
11	39.49987528977315	11	1214.6917477532081	39.49987528977315	36.25945515681219	36.14749975287304	0	0	0	0	0	0	0	0	0	0	0	1
12	38.08502520965193	11	1321.012443130153	38.08502520965193	36.39988362241524	36.310471648398135	0	0	0	0	0	0	0	0	0	0	0	1
13	32.583600382094325	11	1411.974994196833	32.583600382094325	36.12729196239232	36.138107724250425	0	0	0	0	0	0	0	0	0	0	0	1
14	37.91317062956131	11	1517.8159288710249	37.91317062956131	36.246350540203586	36.43477885157728	0	0	0	0	0	0	0	0	0	0	0	1
15	31.71525358115821	11	1606.3543451184248	31.71525358115821	35.96315698026325	36.26624169171221	0	0	0	0	0	0	0	0	0	0	0	1
