task	r0_energy	r0_config	r0_reward
0	0.0	3	0.0
1	0.0	3	0.0
2	0.0	3	0.0
3	0.0	3	0.0
4	0.0	3	0.0
5	0.0	3	0.0
6	1.246234308	3	1.246234308
7	0.0	3	1.246234308
8	0.0	3	1.246234308
9	0.0	3	1.246234308
10	0.0	3	1.246234308
11	0.0	4	0.0
12	0.0	4	0.0
13	0.0	4	0.0
14	0.0	4	0.0
15	0.0	4	0.0
16	0.0	4	0.0
17	0.0	4	0.0
18	0.0	4	0.0
19	0.0	4	0.0
20	0.0	4	0.0
21	0.23488275599999975	4	0.23488275599999975
22	0.0	5	0.0
23	0.0	5	0.0
24	0.0	5	0.0
25	0.0	5	0.0
26	0.0	5	0.0
27	0.0	5	0.0
28	0.0	5	0.0
29	0.0	5	0.0
30	0.0	5	0.0
31	0.0	5	0.0
32	0.0	5	0.0
33	0.0	6	0.0
34	0.041474619999999796	6	0.041474619999999796
35	0.0	6	0.041474619999999796
36	0.0	6	0.041474619999999796
37	0.0	6	0.041474619999999796
38	0.0	6	0.041474619999999796
39	0.0007199050000004092	6	0.042194525000000205
40	0.0	6	0.042194525000000205
41	0.0	6	0.042194525000000205
42	0.0	6	0.042194525000000205
43	0.0	6	0.042194525000000205
44	0.0	7	0.0
45	0.0	7	0.0
46	0.0	7	0.0
47	0.0	7	0.0
48	0.0	7	0.0
49	0.0	7	0.0
50	0.11434823999999999	7	0.11434823999999999
51	0.0	7	0.11434823999999999
52	0.0	7	0.11434823999999999
53	0.0	7	0.11434823999999999
54	0.0	7	0.11434823999999999
55	0.0	7	0.11434823999999999
56	0.0	7	0.11434823999999999
57	0.0	7	0.11434823999999999
58	0.0	7	0.11434823999999999
59	0.0	7	0.11434823999999999
60	0.0	7	0.11434823999999999
61	0.0	7	0.11434823999999999
62	0.0	7	0.11434823999999999
63	0.0	7	0.11434823999999999
64	0.0	7	0.11434823999999999
65	0.3592916039999996	7	0.4736398439999996
66	0.0	7	0.4736398439999996
67	0.0	7	0.4736398439999996
68	0.0	7	0.4736398439999996
69	0.0	7	0.4736398439999996
70	0.0	7	0.4736398439999996
71	0.0	7	0.4736398439999996
72	0.0	7	0.4736398439999996
73	0.0	7	0.4736398439999996
74	0.0	7	0.4736398439999996
75	0.0	7	0.4736398439999996
76	0.0	7	0.4736398439999996
77	0.0	7	0.4736398439999996
78	0.0	7	0.4736398439999996
79	0.0	7	0.4736398439999996
80	0.0	7	0.4736398439999996
81	0.0	7	0.4736398439999996
82	0.0	7	0.4736398439999996
83	0.0	7	0.4736398439999996
84	0.0	7	0.4736398439999996
85	0.0	7	0.4736398439999996
86	0.0	7	0.4736398439999996
87	0.0	7	0.4736398439999996
88	0.0	7	0.4736398439999996
89	0.0	7	0.4736398439999996
90	0.0	7	0.4736398439999996
91	0.0	7	0.4736398439999996
92	0.0	7	0.4736398439999996
93	0.0	7	0.4736398439999996
94	0.032505180000000244	7	0.5061450239999998
