==RUN 0==
Bandit Runs:0 Tasks-in-Run:0
Self-Optimizer Rounds:5 Tasks-in-Round:8
Continuous Knob Rounds:Inf Tasks-in-Round:0
STOKE: Start Bat: 1.000000
MAPSME_GPS_RATE: 10000
MAPSME_GPS_PRIORITY: High Accuracy
MAPSME_GPS_BATCH: 1x

ELocation 0: Accuracy:20.00
ELocation 1: Accuracy:175.12
ELocation 2: Accuracy:15.00
ELocation 3: Accuracy:17.65
ELocation 4: Accuracy:17.65
ELocation 5: Accuracy:17.00
ELocation 6: Accuracy:14.00
ELocation 7: Accuracy:15.00
ELocation 8: Accuracy:11.00
ELocation 9: Accuracy:11.00
ELocation 10: Accuracy:10.00
ELocation 11: Accuracy:8.00
ELocation 12: Accuracy:8.00
ELocation 13: Accuracy:7.00
ELocation 14: Accuracy:7.00
ELocation 15: Accuracy:7.00
ELocation 16: Accuracy:8.00
ELocation 17: Accuracy:7.00
ELocation 18: Accuracy:7.00
ELocation 19: Accuracy:6.00
ELocation 20: Accuracy:6.00
ELocation 21: Accuracy:6.00
ELocation 22: Accuracy:6.00
ELocation 23: Accuracy:6.00
ELocation 24: Accuracy:5.00
ELocation 25: Accuracy:5.00
ELocation 26: Accuracy:5.00
ELocation 27: Accuracy:6.00
ELocation 28: Accuracy:6.00
ELocation 29: Accuracy:6.00
ELocation 30: Accuracy:6.00
ELocation 31: Accuracy:6.00
ETask 1: Configuration:3 Energy:0.0 Power:0.0 Reward:1.3107949049999998 Time:30048 TotalReward:1.3107949049999998
ELocation 32: Accuracy:6.00
ELocation 33: Accuracy:6.00
ELocation 34: Accuracy:6.00
ELocation 35: Accuracy:15.00
ELocation 36: Accuracy:17.35
ELocation 37: Accuracy:17.35
ELocation 38: Accuracy:14.00
ELocation 39: Accuracy:10.00
ELocation 40: Accuracy:10.00
ELocation 41: Accuracy:9.00
ELocation 42: Accuracy:9.00
ELocation 43: Accuracy:9.00
ELocation 44: Accuracy:9.00
ELocation 45: Accuracy:10.00
ELocation 46: Accuracy:9.00
ELocation 47: Accuracy:10.00
ELocation 48: Accuracy:10.00
ELocation 49: Accuracy:10.00
ELocation 50: Accuracy:8.00
ELocation 51: Accuracy:8.00
ELocation 52: Accuracy:7.00
ELocation 53: Accuracy:7.00
ELocation 54: Accuracy:6.00
ELocation 55: Accuracy:6.00
ELocation 56: Accuracy:6.00
ELocation 57: Accuracy:6.00
ELocation 58: Accuracy:6.00
ELocation 59: Accuracy:6.00
ELocation 60: Accuracy:6.00
ELocation 61: Accuracy:6.00
ELocation 62: Accuracy:5.00
ELocation 63: Accuracy:6.00
ELocation 64: Accuracy:5.00
ELocation 65: Accuracy:5.00
ETask 2: Configuration:3 Energy:0.0 Power:0.0 Reward:1.4426021470000001 Time:30043 TotalReward:2.753397052
ELocation 66: Accuracy:5.00
ELocation 67: Accuracy:5.00
ELocation 68: Accuracy:5.00
ELocation 69: Accuracy:11.00
ELocation 70: Accuracy:11.00
ELocation 71: Accuracy:11.00
ELocation 72: Accuracy:10.00
ELocation 73: Accuracy:9.00
ELocation 74: Accuracy:10.00
ELocation 75: Accuracy:8.00
ELocation 76: Accuracy:7.00
ELocation 77: Accuracy:6.00
ELocation 78: Accuracy:6.00
ELocation 79: Accuracy:6.00
ELocation 80: Accuracy:6.00
ELocation 81: Accuracy:6.00
ELocation 82: Accuracy:6.00
ELocation 83: Accuracy:6.00
ELocation 84: Accuracy:6.00
ELocation 85: Accuracy:6.00
ELocation 86: Accuracy:5.00
ELocation 87: Accuracy:5.00
ELocation 88: Accuracy:5.00
ELocation 89: Accuracy:5.00
ELocation 90: Accuracy:5.00
ELocation 91: Accuracy:5.00
ELocation 92: Accuracy:5.00
ELocation 93: Accuracy:5.00
ELocation 94: Accuracy:5.00
ELocation 95: Accuracy:5.00
ELocation 96: Accuracy:5.00
ELocation 97: Accuracy:5.00
ELocation 98: Accuracy:4.00
ETask 3: Configuration:3 Energy:0.0 Power:0.0 Reward:1.783319419 Time:30042 TotalReward:4.536716471
ELocation 99: Accuracy:4.00
ELocation 100: Accuracy:4.00
ELocation 101: Accuracy:4.00
ELocation 102: Accuracy:9.00
ELocation 103: Accuracy:9.00
ELocation 104: Accuracy:9.00
ELocation 105: Accuracy:14.00
ELocation 106: Accuracy:14.00
ELocation 107: Accuracy:11.00
ELocation 108: Accuracy:10.00
ELocation 109: Accuracy:9.00
ELocation 110: Accuracy:9.00
ELocation 111: Accuracy:9.00
ELocation 112: Accuracy:8.00
ELocation 113: Accuracy:7.00
ELocation 114: Accuracy:7.00
ELocation 115: Accuracy:7.00
ELocation 116: Accuracy:7.00
ELocation 117: Accuracy:7.00
ELocation 118: Accuracy:6.00
ELocation 119: Accuracy:6.00
ELocation 120: Accuracy:5.00
ELocation 121: Accuracy:5.00
ELocation 122: Accuracy:5.00
ELocation 123: Accuracy:5.00
ELocation 124: Accuracy:5.00
ELocation 125: Accuracy:6.00
ELocation 126: Accuracy:6.00
ELocation 127: Accuracy:6.00
ELocation 128: Accuracy:6.00
ELocation 129: Accuracy:6.00
ELocation 130: Accuracy:6.00
ELocation 131: Accuracy:5.00
ELocation 132: Accuracy:5.00
ELocation 133: Accuracy:5.00
ETask 4: Configuration:3 Energy:0.0 Power:0.0 Reward:1.3925147039999999 Time:30045 TotalReward:5.929231175
ELocation 134: Accuracy:5.00
ELocation 135: Accuracy:5.00
ELocation 136: Accuracy:5.00
ELocation 137: Accuracy:9.00
ELocation 138: Accuracy:11.04
ELocation 139: Accuracy:11.04
ELocation 140: Accuracy:15.00
ELocation 141: Accuracy:15.00
ELocation 142: Accuracy:10.00
ELocation 143: Accuracy:9.00
ELocation 144: Accuracy:8.00
ELocation 145: Accuracy:7.00
ELocation 146: Accuracy:6.00
ELocation 147: Accuracy:6.00
ELocation 148: Accuracy:6.00
ELocation 149: Accuracy:5.00
ELocation 150: Accuracy:5.00
ELocation 151: Accuracy:5.00
ELocation 152: Accuracy:5.00
ELocation 153: Accuracy:5.00
ELocation 154: Accuracy:5.00
ELocation 155: Accuracy:4.00
ELocation 156: Accuracy:4.00
ELocation 157: Accuracy:4.00
ELocation 158: Accuracy:4.00
ELocation 159: Accuracy:4.00
ELocation 160: Accuracy:4.00
ELocation 161: Accuracy:4.00
ELocation 162: Accuracy:4.00
ELocation 163: Accuracy:4.00
ELocation 164: Accuracy:4.00
ELocation 165: Accuracy:4.00
ELocation 166: Accuracy:4.00
ELocation 167: Accuracy:4.00
ELocation 168: Accuracy:4.00
ETask 5: Configuration:3 Energy:0.0 Power:0.0 Reward:1.368771849 Time:30035 TotalReward:7.298003024
ELocation 169: Accuracy:4.00
ELocation 170: Accuracy:4.00
ELocation 171: Accuracy:5.00
ELocation 172: Accuracy:9.00
ELocation 173: Accuracy:9.00
ELocation 174: Accuracy:9.00
ELocation 175: Accuracy:12.00
ELocation 176: Accuracy:10.00
ELocation 177: Accuracy:8.00
ELocation 178: Accuracy:5.00
ELocation 179: Accuracy:5.00
ELocation 180: Accuracy:5.00
ELocation 181: Accuracy:4.00
ELocation 182: Accuracy:4.00
ELocation 183: Accuracy:4.00
ELocation 184: Accuracy:5.00
ELocation 185: Accuracy:5.00
ELocation 186: Accuracy:5.00
ELocation 187: Accuracy:5.00
ELocation 188: Accuracy:6.00
ELocation 189: Accuracy:5.00
ELocation 190: Accuracy:5.00
ELocation 191: Accuracy:5.00
ELocation 192: Accuracy:5.00
ELocation 193: Accuracy:5.00
ELocation 194: Accuracy:5.00
ELocation 195: Accuracy:5.00
ELocation 196: Accuracy:5.00
ELocation 197: Accuracy:5.00
ELocation 198: Accuracy:4.00
ELocation 199: Accuracy:4.00
ELocation 200: Accuracy:4.00
ELocation 201: Accuracy:4.00
ELocation 202: Accuracy:4.00
ELocation 203: Accuracy:4.00
ETask 6: Configuration:3 Energy:0.0 Power:0.0 Reward:1.3465935210000002 Time:30034 TotalReward:8.644596545
ELocation 204: Accuracy:4.00
ELocation 205: Accuracy:4.00
ELocation 206: Accuracy:4.00
ELocation 207: Accuracy:7.00
ELocation 208: Accuracy:7.00
ELocation 209: Accuracy:7.00
ELocation 210: Accuracy:11.00
ELocation 211: Accuracy:9.00
ELocation 212: Accuracy:8.00
ELocation 213: Accuracy:8.00
ELocation 214: Accuracy:7.00
ELocation 215: Accuracy:6.00
ELocation 216: Accuracy:6.00
ELocation 217: Accuracy:6.00
ELocation 218: Accuracy:5.00
ELocation 219: Accuracy:5.00
ELocation 220: Accuracy:5.00
ELocation 221: Accuracy:5.00
ELocation 222: Accuracy:5.00
ELocation 223: Accuracy:6.00
ELocation 224: Accuracy:7.00
ELocation 225: Accuracy:6.00
ELocation 226: Accuracy:6.00
ELocation 227: Accuracy:6.00
ELocation 228: Accuracy:6.00
ELocation 229: Accuracy:6.00
ELocation 230: Accuracy:6.00
ELocation 231: Accuracy:6.00
ELocation 232: Accuracy:6.00
ELocation 233: Accuracy:6.00
ELocation 234: Accuracy:6.00
ELocation 235: Accuracy:5.00
ELocation 236: Accuracy:6.00
ELocation 237: Accuracy:6.00
ELocation 238: Accuracy:6.00
ETask 7: Configuration:3 Energy:0.0 Power:0.0 Reward:1.399777782 Time:30044 TotalReward:10.044374327
ELocation 239: Accuracy:6.00
ELocation 240: Accuracy:6.00
ELocation 241: Accuracy:6.00
ELocation 242: Accuracy:10.00
ELocation 243: Accuracy:10.00
ELocation 244: Accuracy:10.00
ELocation 245: Accuracy:12.00
ELocation 246: Accuracy:8.00
ELocation 247: Accuracy:8.00
ELocation 248: Accuracy:7.00
ELocation 249: Accuracy:7.00
ELocation 250: Accuracy:8.00
ELocation 251: Accuracy:8.00
ELocation 252: Accuracy:8.00
ELocation 253: Accuracy:7.00
ELocation 254: Accuracy:7.00
ELocation 255: Accuracy:7.00
ELocation 256: Accuracy:5.00
ELocation 257: Accuracy:5.00
ELocation 258: Accuracy:6.00
ELocation 259: Accuracy:7.00
ELocation 260: Accuracy:7.00
ELocation 261: Accuracy:7.00
ELocation 262: Accuracy:8.00
ELocation 263: Accuracy:8.00
ELocation 264: Accuracy:8.00
ELocation 265: Accuracy:8.00
ELocation 266: Accuracy:8.00
ELocation 267: Accuracy:7.00
ELocation 268: Accuracy:7.00
ELocation 269: Accuracy:7.00
ELocation 270: Accuracy:6.00
ELocation 271: Accuracy:6.00
ELocation 272: Accuracy:6.00
ELocation 273: Accuracy:6.00
ETask 8: Configuration:3 Energy:0.0 Power:0.0 Reward:0.1887571530000005 Time:30045 TotalReward:10.23313148
ELocation 274: Accuracy:6.00
ELocation 275: Accuracy:6.00
ELocation 276: Accuracy:6.00
ELocation 277: Accuracy:11.00
ELocation 278: Accuracy:11.00
ELocation 279: Accuracy:11.00
ELocation 280: Accuracy:13.00
ELocation 281: Accuracy:12.00
ELocation 282: Accuracy:10.00
ELocation 283: Accuracy:10.00
ELocation 284: Accuracy:8.00
ELocation 285: Accuracy:9.00
ELocation 286: Accuracy:8.00
ELocation 287: Accuracy:7.00
ELocation 288: Accuracy:7.00
ELocation 289: Accuracy:6.00
ELocation 290: Accuracy:6.00
ELocation 291: Accuracy:6.00
ELocation 292: Accuracy:5.00
ELocation 293: Accuracy:5.00
ELocation 294: Accuracy:5.00
ELocation 295: Accuracy:5.00
ELocation 296: Accuracy:5.00
ELocation 297: Accuracy:5.00
ELocation 298: Accuracy:5.00
ELocation 299: Accuracy:5.00
ELocation 300: Accuracy:5.00
ELocation 301: Accuracy:5.00
ELocation 302: Accuracy:6.00
ELocation 303: Accuracy:6.00
ELocation 304: Accuracy:6.00
ELocation 305: Accuracy:6.00
ELocation 306: Accuracy:6.00
ELocation 307: Accuracy:6.00
ETask 9: Configuration:3 Energy:0.0 Power:0.0 Reward:0.34962349500000034 Time:30062 TotalReward:10.582754975
ELocation 308: Accuracy:6.00
ELocation 309: Accuracy:6.00
ELocation 310: Accuracy:6.00
ELocation 311: Accuracy:15.00
ELocation 312: Accuracy:15.00
ELocation 313: Accuracy:15.00
ELocation 314: Accuracy:17.00
ELocation 315: Accuracy:13.00
ELocation 316: Accuracy:12.00
ELocation 317: Accuracy:15.00
ELocation 318: Accuracy:15.00
ELocation 319: Accuracy:14.00
ELocation 320: Accuracy:13.00
ELocation 321: Accuracy:14.00
ELocation 322: Accuracy:15.00
ELocation 323: Accuracy:14.00
ELocation 324: Accuracy:13.00
ELocation 325: Accuracy:15.00
ELocation 326: Accuracy:13.00
ELocation 327: Accuracy:12.00
ELocation 328: Accuracy:11.00
ELocation 329: Accuracy:10.00
ELocation 330: Accuracy:9.00
ELocation 331: Accuracy:9.00
ELocation 332: Accuracy:8.00
ELocation 333: Accuracy:7.00
ELocation 334: Accuracy:7.00
ELocation 335: Accuracy:7.00
ELocation 336: Accuracy:7.00
ELocation 337: Accuracy:7.00
ELocation 338: Accuracy:7.00
ELocation 339: Accuracy:7.00
ELocation 340: Accuracy:7.00
ETask 10: Configuration:3 Energy:0.0 Power:0.0 Reward:1.866102523 Time:30050 TotalReward:12.448857498
ELocation 341: Accuracy:7.00
ELocation 342: Accuracy:7.00
ELocation 343: Accuracy:7.00
ELocation 344: Accuracy:14.00
ELocation 345: Accuracy:14.00
ELocation 346: Accuracy:14.00
ELocation 347: Accuracy:15.00
ELocation 348: Accuracy:12.00
ELocation 349: Accuracy:10.00
ELocation 350: Accuracy:11.00
ELocation 351: Accuracy:10.00
ELocation 352: Accuracy:9.00
ELocation 353: Accuracy:8.00
ELocation 354: Accuracy:7.00
ELocation 355: Accuracy:7.00
ELocation 356: Accuracy:7.00
ELocation 357: Accuracy:7.00
ELocation 358: Accuracy:7.00
ELocation 359: Accuracy:6.00
ELocation 360: Accuracy:7.00
ELocation 361: Accuracy:6.00
ELocation 362: Accuracy:6.00
ELocation 363: Accuracy:6.00
ELocation 364: Accuracy:6.00
ELocation 365: Accuracy:6.00
ELocation 366: Accuracy:6.00
ELocation 367: Accuracy:7.00
ELocation 368: Accuracy:7.00
ELocation 369: Accuracy:6.00
ELocation 370: Accuracy:7.00
ELocation 371: Accuracy:7.00
ELocation 372: Accuracy:7.00
ELocation 373: Accuracy:7.00
ETask 11: Configuration:3 Energy:0.0 Power:0.0 Reward:1.5834778939999998 Time:30046 TotalReward:14.032335392
ELocation 374: Accuracy:7.00
ELocation 375: Accuracy:7.00
ELocation 376: Accuracy:7.00
ELocation 377: Accuracy:16.00
ELocation 378: Accuracy:16.00
ELocation 379: Accuracy:16.00
ELocation 380: Accuracy:16.00
ELocation 381: Accuracy:16.00
ELocation 382: Accuracy:16.00
ELocation 383: Accuracy:14.00
ELocation 384: Accuracy:14.00
ELocation 385: Accuracy:14.00
ELocation 386: Accuracy:13.00
ELocation 387: Accuracy:13.00
ELocation 388: Accuracy:14.00
ELocation 389: Accuracy:14.00
ELocation 390: Accuracy:12.00
ELocation 391: Accuracy:13.00
ELocation 392: Accuracy:11.00
ELocation 393: Accuracy:12.00
ELocation 394: Accuracy:12.00
ELocation 395: Accuracy:12.00
ELocation 396: Accuracy:12.00
ELocation 397: Accuracy:13.00
ELocation 398: Accuracy:12.00
ELocation 399: Accuracy:11.00
ELocation 400: Accuracy:10.00
ELocation 401: Accuracy:10.00
ELocation 402: Accuracy:10.00
ELocation 403: Accuracy:10.00
ELocation 404: Accuracy:9.00
ELocation 405: Accuracy:9.00
ELocation 406: Accuracy:8.00
ETask 1: Configuration:4 Energy:0.0 Power:0.0 Reward:1.636453702 Time:30033 TotalReward:1.636453702
ELocation 407: Accuracy:8.00
ELocation 408: Accuracy:8.00
ELocation 409: Accuracy:7.00
ELocation 410: Accuracy:9.00
ELocation 411: Accuracy:9.00
ELocation 412: Accuracy:9.00
ELocation 413: Accuracy:12.00
ELocation 414: Accuracy:9.00
ELocation 415: Accuracy:8.00
ELocation 416: Accuracy:7.00
ELocation 417: Accuracy:7.00
ELocation 418: Accuracy:7.00
ELocation 419: Accuracy:7.00
ELocation 420: Accuracy:7.00
ELocation 421: Accuracy:7.00
ELocation 422: Accuracy:7.00
ELocation 423: Accuracy:6.00
ELocation 424: Accuracy:6.00
ELocation 425: Accuracy:6.00
ELocation 426: Accuracy:6.00
ELocation 427: Accuracy:6.00
ELocation 428: Accuracy:6.00
ELocation 429: Accuracy:6.00
ELocation 430: Accuracy:6.00
ELocation 431: Accuracy:6.00
ELocation 432: Accuracy:6.00
ELocation 433: Accuracy:6.00
ELocation 434: Accuracy:6.00
ELocation 435: Accuracy:7.00
ELocation 436: Accuracy:7.00
ELocation 437: Accuracy:7.00
ELocation 438: Accuracy:7.00
ELocation 439: Accuracy:6.00
ELocation 440: Accuracy:6.00
ELocation 441: Accuracy:6.00
ETask 2: Configuration:4 Energy:0.0 Power:0.0 Reward:0.4994003 Time:30051 TotalReward:2.1358540020000003
ELocation 442: Accuracy:6.00
ELocation 443: Accuracy:6.00
ELocation 444: Accuracy:5.00
ELocation 445: Accuracy:12.00
ELocation 446: Accuracy:12.00
ELocation 447: Accuracy:12.00
ELocation 448: Accuracy:14.00
ELocation 449: Accuracy:12.00
ELocation 450: Accuracy:10.00
ELocation 451: Accuracy:9.00
ELocation 452: Accuracy:8.00
ELocation 453: Accuracy:7.00
ELocation 454: Accuracy:7.00
ELocation 455: Accuracy:7.00
ELocation 456: Accuracy:7.00
ELocation 457: Accuracy:6.00
ELocation 458: Accuracy:6.00
ELocation 459: Accuracy:5.00
ELocation 460: Accuracy:5.00
ELocation 461: Accuracy:6.00
ELocation 462: Accuracy:5.00
ELocation 463: Accuracy:5.00
ELocation 464: Accuracy:5.00
ELocation 465: Accuracy:4.00
ELocation 466: Accuracy:4.00
ELocation 467: Accuracy:4.00
ELocation 468: Accuracy:4.00
ELocation 469: Accuracy:4.00
ELocation 470: Accuracy:4.00
ELocation 471: Accuracy:4.00
ELocation 472: Accuracy:4.00
ELocation 473: Accuracy:4.00
ELocation 474: Accuracy:4.00
ELocation 475: Accuracy:3.90
ELocation 476: Accuracy:4.00
ETask 3: Configuration:4 Energy:0.0 Power:0.0 Reward:0.13567006199999998 Time:30053 TotalReward:2.2715240640000003
ELocation 477: Accuracy:4.00
ELocation 478: Accuracy:4.00
ELocation 479: Accuracy:4.00
ELocation 480: Accuracy:8.00
ELocation 481: Accuracy:8.00
ELocation 482: Accuracy:8.00
ELocation 483: Accuracy:14.00
ELocation 484: Accuracy:12.00
ELocation 485: Accuracy:9.00
ELocation 486: Accuracy:8.00
ELocation 487: Accuracy:7.00
ELocation 488: Accuracy:7.00
ELocation 489: Accuracy:6.00
ELocation 490: Accuracy:6.00
ELocation 491: Accuracy:5.00
ELocation 492: Accuracy:5.00
ELocation 493: Accuracy:5.00
ELocation 494: Accuracy:6.00
ELocation 495: Accuracy:6.00
ELocation 496: Accuracy:6.00
ELocation 497: Accuracy:5.00
ELocation 498: Accuracy:5.00
ELocation 499: Accuracy:6.00
ELocation 500: Accuracy:5.00
ELocation 501: Accuracy:6.00
ELocation 502: Accuracy:5.00
ELocation 503: Accuracy:5.00
ELocation 504: Accuracy:5.00
ELocation 505: Accuracy:5.00
ELocation 506: Accuracy:5.00
ELocation 507: Accuracy:6.00
ELocation 508: Accuracy:6.00
ELocation 509: Accuracy:6.00
ELocation 510: Accuracy:6.00
ELocation 511: Accuracy:6.00
ETask 4: Configuration:4 Energy:0.0 Power:0.0 Reward:1.33650879 Time:30045 TotalReward:3.608032854
ELocation 512: Accuracy:6.00
ELocation 513: Accuracy:6.00
ELocation 514: Accuracy:8.00
ELocation 515: Accuracy:18.00
ELocation 516: Accuracy:18.00
ELocation 517: Accuracy:18.00
ELocation 518: Accuracy:19.00
ELocation 519: Accuracy:16.00
ELocation 520: Accuracy:14.00
ELocation 521: Accuracy:12.00
ELocation 522: Accuracy:10.00
ELocation 523: Accuracy:9.00
ELocation 524: Accuracy:8.00
ELocation 525: Accuracy:7.00
ELocation 526: Accuracy:6.00
ELocation 527: Accuracy:7.00
ELocation 528: Accuracy:7.00
ELocation 529: Accuracy:7.00
ELocation 530: Accuracy:7.00
ELocation 531: Accuracy:7.00
ELocation 532: Accuracy:7.00
ELocation 533: Accuracy:7.00
ELocation 534: Accuracy:7.00
ELocation 535: Accuracy:7.00
ELocation 536: Accuracy:7.00
ELocation 537: Accuracy:7.00
ELocation 538: Accuracy:7.00
ELocation 539: Accuracy:7.00
ELocation 540: Accuracy:7.00
ELocation 541: Accuracy:7.00
ELocation 542: Accuracy:6.00
ELocation 543: Accuracy:6.00
ELocation 544: Accuracy:6.00
ETask 5: Configuration:4 Energy:0.0 Power:0.0 Reward:1.57840562 Time:30053 TotalReward:5.186438474
ELocation 545: Accuracy:6.00
ELocation 546: Accuracy:6.00
ELocation 547: Accuracy:6.00
ELocation 548: Accuracy:13.00
ELocation 549: Accuracy:13.00
ELocation 550: Accuracy:13.00
ELocation 551: Accuracy:12.00
ELocation 552: Accuracy:9.00
ELocation 553: Accuracy:8.00
ELocation 554: Accuracy:7.00
ELocation 555: Accuracy:7.00
ELocation 556: Accuracy:6.00
ELocation 557: Accuracy:6.00
ELocation 558: Accuracy:6.00
ELocation 559: Accuracy:7.00
ELocation 560: Accuracy:6.00
ELocation 561: Accuracy:7.00
ELocation 562: Accuracy:7.00
ELocation 563: Accuracy:7.00
ELocation 564: Accuracy:7.00
ELocation 565: Accuracy:7.00
ELocation 566: Accuracy:7.00
ELocation 567: Accuracy:7.00
ELocation 568: Accuracy:8.00
ELocation 569: Accuracy:8.00
ELocation 570: Accuracy:8.00
ELocation 571: Accuracy:8.00
ELocation 572: Accuracy:8.00
ELocation 573: Accuracy:7.00
ELocation 574: Accuracy:8.00
ELocation 575: Accuracy:8.00
