task	optimizer_reward	optimizer_total_reward	s1_reward	s1_total_reward	s10_reward	s10_total_reward	s30_reward	s30_total_reward	s60_reward	s60_total_reward
0	1.399956636	1.399956636	0.0	0.0	2.145311448	2.145311448	1.3107949049999998	1.3107949049999998	0	0
1	0.5481952529999998	1.9481518889999998	0.0	0.0	0.0	2.145311448	1.4426021470000001	2.753397052	0	0
2	1.7438418740000001	3.691993763	0.0	0.0	0.0	2.145311448	1.783319419	4.536716471	0	0
3	1.497028502	5.189022265	0.0	0.0	1.6207589760000003	3.7660704240000005	1.3925147039999999	5.929231175	0	0
4	1.459182121	6.648204386	0.0	0.0	0.0	3.7660704240000005	1.368771849	7.298003024	0	0
5	0.0	6.648204386	0.0	0.0	0.0	3.7660704240000005	1.3465935210000002	8.644596545	0	0
6	0.0	6.648204386	1.246234308	1.246234308	1.5597442	5.325814624	1.399777782	10.044374327	0	0
7	0.0	6.648204386	0.0	1.246234308	0.0	5.325814624	0.1887571530000005	10.23313148	0	0
8	1.3852925049999998	8.033496890999999	0.0	1.246234308	0.0	5.325814624	0.34962349500000034	10.582754975	0	0
9	1.3270209679999996	9.360517858999998	0.0	1.246234308	0.0	5.325814624	1.866102523	12.448857498	0	0
10	0.007813198999999882	9.368331057999997	0.0	1.246234308	0.0	5.325814624	1.5834778939999998	14.032335392	0	0
11	0.10129251299999975	9.469623570999996	0.0	0.0	0.43544959999999966	0.43544959999999966	1.636453702	1.636453702	0	0
12	1.740725329	11.210348899999996	0.0	0.0	0.0	0.43544959999999966	0.4994003	2.1358540020000003	0	0
13	1.8532605070000001	13.063609406999996	0.0	0.0	0.0	0.43544959999999966	0.13567006199999998	2.2715240640000003	0	0
14	1.463573225	14.527182631999995	0.0	0.0	0.07074080000000027	0.5061903999999999	1.33650879	3.608032854	0	0
15	1.3749801160000004	15.902162747999995	0.0	0.0	0.0	0.5061903999999999	1.57840562	5.186438474	0	0
16	1.452897189	17.355059936999996	0.0	0.0	0.0	0.5061903999999999	1.8126030949999998	6.999041569	0	0
17	1.5169227539999999	1.5169227539999999	0.0	0.0	1.519310031	2.025500431	1.1157925450000001	8.114834114	0	0
18	1.3556229990000002	2.872545753	0.0	0.0	0.0	2.025500431	1.5010235619999999	9.615857676000001	0	0
19	0.4815034680000001	3.354049221	0.0	0.0	0.0	2.025500431	1.560741696	11.176599372000002	0	0
20	1.611344811	4.965394032	0.0	0.0	1.649284569	3.674785	1.320933888	12.49753326	0	0
21	1.750868289	6.716262321	0.23488275599999975	0.23488275599999975	0.03681615599999999	3.711601156	1.487553648	13.985086908000001	0	0
22	1.346741025	8.063003346	0.0	0.0	0.0	0.0	0.057650519999999705	0.057650519999999705	0	0
23	0.3815704630000001	8.444573809000001	0.0	0.0	1.7886471699999997	1.7886471699999997	1.2798575459999997	1.3375080659999994	0	0
24	0.0	8.444573809000001	0.0	0.0	0.0	1.7886471699999997	1.4136174249999998	2.751125490999999	0	0
25	0.0	8.444573809000001	0.0	0.0	0.0	1.7886471699999997	1.4320876249999999	4.183213115999999	0	0
26	0.01242190799999987	8.456995717000002	0.0	0.0	1.42306159	3.2117087599999996	1.3747565250000002	5.557969641	0	0
27	1.7061164970000002	10.163112214000002	0.0	0.0	0.0	3.2117087599999996	1.465357025	7.023326666	0	0
28	0.013015089000000035	10.176127303000001	0.0	0.0	0.0	3.2117087599999996	1.45963125	8.482957916	0	0
29	1.806118726	11.982246029	0.0	0.0	1.8194526869999998	5.031161447	1.3701111349999997	9.853069051	0	0
30	1.6436740699999999	13.625920099	0.0	0.0	0.0	5.031161447	0.234691749	10.0877608	0	0
31	1.1335266749999997	14.759446774	0.0	0.0	0.0	5.031161447	0.2511867250000006	10.338947525	1.4541601360000003	1.4541601360000003
32	0.049947849000000044	14.809394623000001	0.0	0.0	1.2794349859999996	6.310596432999999	0.957145307	11.296092832	1.750284096	3.204444232
33	1.5778979480000004	16.387292571000003	0.0	0.0	0.0	0.0	1.3903164	1.3903164	1.8666583600000002	5.071102592000001
34	1.675685946	18.062978517000005	0.041474619999999796	0.041474619999999796	0.0	0.0	1.6459087919999997	3.036225192	0.11273965800000019	5.183842250000001
35	0.0	18.062978517000005	0.0	0.041474619999999796	0.0	0.0	0.5591541119999999	3.5953793039999997	1.5772326570000001	6.761074907000001
36	1.8707670319999998	1.8707670319999998	0.0	0.041474619999999796	0.0	0.0	0.11738381600000025	3.71276312	1.2543978850000004	8.015472792
37	1.4450571700000001	3.315824202	0.0	0.041474619999999796	0.49110360200000036	0.49110360200000036	0.44912203600000034	4.161885156	1.612872711	9.628345503
38	1.6880649760000004	5.0038891780000005	0.0	0.041474619999999796	0.0	0.49110360200000036	1.6140402960000004	5.775925452000001	1.4761404480000002	11.104485951000001
39	1.692161384	6.696050562000001	0.0007199050000004092	0.042194525000000205	0.0	0.49110360200000036	1.3824074400000004	7.158332892000002	1.350030243	12.454516194
40	1.20451256	7.900563122000001	0.0	0.042194525000000205	0.05606172300000001	0.5471653250000004	1.5100466760000002	8.668379568000002	1.5822858480000002	14.036802042
41	1.2926412560000005	9.193204378	0.0	0.042194525000000205	0.0	0.5471653250000004	1.241437704	9.909817272000002	0.06942088000000002	14.106222922
42	0.18264599600000064	9.375850374000002	0.0	0.042194525000000205	0.0	0.5471653250000004	1.6640892000000003	11.573906472000001	0.17974379699999998	0.17974379699999998
43	1.4606035560000004	10.836453930000003	0.0	0.042194525000000205	0.016297222000000167	0.5634625470000005	0.95749032	12.531396792	0.30882395599999946	0.48856775299999944
44	0.0	10.836453930000003	0.0	0.0	0.0	0.0	0.3000717599999998	0.3000717599999998	1.1539994450000004	1.6425671979999998
45	1.31032602	12.146779950000003	0.0	0.0	0.0	0.0	0.021791280000000413	0.3218630400000002	1.294786188	2.937353386
46	0.9820839919999997	13.128863942000002	0.0	0.0	1.4013742059999998	1.4013742059999998	1.717547044	2.039410084	1.43014892	4.367502306
47	1.5526917	14.681555642000003	0.0	0.0	0.0	1.4013742059999998	1.646772512	3.686182596	0.08121810599999968	4.448720411999999
48	1.336406952	16.017962594000004	0.0	0.0	0.0	1.4013742059999998	1.859584272	5.545766868	1.4000266440000002	5.848747056
49	1.767688874	17.785651468000005	0.0	0.0	1.850072236	3.2514464419999998	1.653929186	7.199696054	1.673213684	7.52196074
50	0.0	17.785651468000005	0.11434823999999999	0.11434823999999999	0.0	3.2514464419999998	1.179359981	8.379056035	1.237082605	8.759043345
51	0.13918580500000033	17.924837273000005	0.0	0.11434823999999999	0.000547785999999828	3.2519942279999996	0.9913719010000004	9.370427936	1.6302613559999997	10.389304701
52	1.58997252	19.514809793000005	0.0	0.11434823999999999	2.0945643919999997	5.34655862	1.3386898589999998	10.709117795000001	1.554774596	11.944079297
53	1.514651888	21.029461681000004	0.0	0.11434823999999999	0.0	5.34655862	0.2609513920000004	10.970069187000002	0.1463503799999999	0.1463503799999999
54	1.4606008360000002	22.490062517000005	0.0	0.11434823999999999	0.0	5.34655862	0.487355349	11.457424536000001	1.0903060260000002	1.236656406
55	1.014513936	1.014513936	0.0	0.11434823999999999	1.411110912	6.7576695319999995	1.4855582989999996	12.942982835	1.4117282029999998	2.648384609
56	0.46150650399999993	1.4760204399999999	0.0	0.11434823999999999	0.02813091599999984	6.785800448	1.394703056	14.337685891	1.586890034	4.235274643
57	1.344446067	2.820466507	0.0	0.11434823999999999	0.0	6.785800448	0.0	14.337685891	1.9075070520000001	6.142781695
58	1.4387114749999996	4.259177982	0.0	0.11434823999999999	1.979545176	8.765345624	0.07259029800000016	14.410276189	1.0181862360000002	7.160967931
59	1.5408945250000001	5.800072506999999	0.0	0.11434823999999999	0.0	8.765345624	0.14969166499999975	14.559967854	0.900392211	8.061360142
60	0.8599530240000002	6.660025531	0.0	0.11434823999999999	0.0	8.765345624	1.846063038	16.406030892	1.470930831	9.532290973
61	1.8274058879999997	8.487431419	0.0	0.11434823999999999	1.6230773040000002	10.388422928	1.3852272970000001	17.791258189	1.432624033	10.964915006
62	0.24471936800000016	8.732150787	0.0	0.11434823999999999	0.0	10.388422928	1.4532233319999999	19.244481521	1.414599041	12.379514047
63	1.59842214	10.330572927	0.0	0.11434823999999999	0.814125384	11.202548312000001	1.49340115	20.737882671	0.3857245100000002	12.765238557
64	1.5475421560000004	11.878115083	0.0	0.11434823999999999	0.0	11.202548312000001	1.7177352569999997	22.455617928000002	1.040217471	1.040217471
65	1.7112196640000001	13.589334747	0.3592916039999996	0.4736398439999996	0.0	11.202548312000001	1.4507027959999999	23.906320724000004	1.2831098529999998	2.323327324
66	1.3522573669999998	14.941592114	0.0	0.4736398439999996	1.071702096	12.274250408	1.2377236560000002	25.144044380000004	0.93953672	3.262864044
67	0.32017740299999975	15.261769517000001	0.0	0.4736398439999996	0.0	12.274250408	0.08884466399999935	25.232889044000004	0.5007619700000001	3.763626014
68	0.09147925800000012	15.353248775	0.0	0.4736398439999996	0.0	12.274250408	0.21724231200000022	25.450131356000004	1.3492690449999998	5.1128950589999995
69	1.616890452	16.970139227	0.0	0.4736398439999996	0.16903624799999983	12.443286656	1.527612194	26.977743550000003	1.084731678	6.197626736999999
70	1.4895542949999998	18.459693522000002	0.0	0.4736398439999996	0.008946170999999836	12.452232827	1.3022793579999996	28.280022908000003	1.3941372980000002	7.591764035
71	1.4815993709999997	19.941292893000004	0.0	0.4736398439999996	0.0	12.452232827	2.435795596	30.715818504000005	0.2651389660000003	7.856903001
72	1.3978119959999995	21.339104889	0.0	0.4736398439999996	2.0059472849999995	14.458180111999999	1.555741776	32.27156028	1.669402144	9.526305145
73	1.488834578	22.827939467	0.0	0.4736398439999996	0.0	14.458180111999999	1.7650343639999997	34.036594644000004	1.536302304	11.062607449
74	1.2086017249999996	24.036541192	0.0	0.4736398439999996	0.0	14.458180111999999	0.6161565500000001	34.652751194000004	1.01223499	12.074842439
75	1.5044689079999995	25.5410101	0.0	0.4736398439999996	1.8168717699999997	16.275051882	1.6471636399999998	36.299914834000006	1.6347637230000003	1.6347637230000003
76	1.565515561	27.106525661000003	0.0	0.4736398439999996	0.0	16.275051882	0.3298024499999994	36.62971728400001	1.333148569	2.9679122920000003
77	1.427845258	28.534370919000004	0.0	0.4736398439999996	0.0	16.275051882	1.8637677999999998	38.49348508400001	1.4577245639999998	4.425636856000001
78	1.09675055	29.631121469000004	0.0	0.4736398439999996	1.8741655599999996	18.149217441999998	1.5120368180000001	40.005521902000005	1.253121408	5.678758264000001
79	1.4871883	31.118309769000003	0.0	0.4736398439999996	0.0	18.149217441999998	1.6385319520000001	41.644053854000006	1.4364755040000003	7.115233768000001
