task	r0_energy	r0_config	r0_reward
0	1.399956636	3	1.399956636
1	0.5481952529999998	3	1.9481518889999998
2	1.7438418740000001	4	3.691993763
3	1.497028502	4	5.189022265
4	1.459182121	5	6.648204386
5	0.0	5	6.648204386
6	0.0	6	6.648204386
7	0.0	6	6.648204386
8	1.3852925049999998	4	8.033496890999999
9	1.3270209679999996	4	9.360517858999998
10	0.007813198999999882	4	9.368331057999997
11	0.10129251299999975	4	9.469623570999996
12	1.740725329	4	11.210348899999996
13	1.8532605070000001	4	13.063609406999996
14	1.463573225	4	14.527182631999995
15	1.3749801160000004	4	15.902162747999995
16	1.452897189	4	17.355059936999996
17	1.5169227539999999	7	1.5169227539999999
18	1.3556229990000002	7	2.872545753
19	0.4815034680000001	8	3.354049221
20	1.611344811	8	4.965394032
21	1.750868289	9	6.716262321
22	1.346741025	9	8.063003346
23	0.3815704630000001	10	8.444573809000001
24	0.0	10	8.444573809000001
25	0.0	11	8.444573809000001
26	0.01242190799999987	11	8.456995717000002
27	1.7061164970000002	9	10.163112214000002
28	0.013015089000000035	9	10.176127303000001
29	1.806118726	9	11.982246029
30	1.6436740699999999	9	13.625920099
31	1.1335266749999997	7	14.759446774
32	0.049947849000000044	9	14.809394623000001
33	1.5778979480000004	9	16.387292571000003
34	1.675685946	9	18.062978517000005
35	0.0	11	18.062978517000005
36	1.8707670319999998	12	1.8707670319999998
37	1.4450571700000001	12	3.315824202
38	1.6880649760000004	13	5.0038891780000005
39	1.692161384	13	6.696050562000001
40	1.20451256	14	7.900563122000001
41	1.2926412560000005	14	9.193204378
42	0.18264599600000064	15	9.375850374000002
43	1.4606035560000004	15	10.836453930000003
44	0.0	16	10.836453930000003
45	1.31032602	16	12.146779950000003
46	0.9820839919999997	13	13.128863942000002
47	1.5526917	13	14.681555642000003
48	1.336406952	13	16.017962594000004
49	1.767688874	14	17.785651468000005
50	0.0	15	17.785651468000005
51	0.13918580500000033	14	17.924837273000005
52	1.58997252	13	19.514809793000005
53	1.514651888	13	21.029461681000004
54	1.4606008360000002	13	22.490062517000005
55	1.014513936	17	1.014513936
56	0.46150650399999993	17	1.4760204399999999
57	1.344446067	18	2.820466507
58	1.4387114749999996	18	4.259177982
59	1.5408945250000001	19	5.800072506999999
60	0.8599530240000002	19	6.660025531
61	1.8274058879999997	20	8.487431419
62	0.24471936800000016	20	8.732150787
63	1.59842214	21	10.330572927
64	1.5475421560000004	21	11.878115083
65	1.7112196640000001	21	13.589334747
66	1.3522573669999998	21	14.941592114
67	0.32017740299999975	21	15.261769517000001
68	0.09147925800000012	21	15.353248775
69	1.616890452	19	16.970139227
70	1.4895542949999998	19	18.459693522000002
71	1.4815993709999997	19	19.941292893000004
72	1.3978119959999995	19	21.339104889
73	1.488834578	19	22.827939467
74	1.2086017249999996	19	24.036541192
75	1.5044689079999995	19	25.5410101
76	1.565515561	19	27.106525661000003
77	1.427845258	19	28.534370919000004
78	1.09675055	19	29.631121469000004
79	1.4871883	19	31.118309769000003
80	1.6437028299999998	19	32.762012599
81	1.6533685489999999	19	34.415381148
82	1.299151686	19	35.714532834
83	1.319281915	19	37.033814749
84	0.06426779799999993	19	37.098082547000004
85	0.2389048410000001	19	37.336987388000004
86	1.7483799989999997	18	39.085367387000005
87	1.4606707209999998	18	40.546038108000005
88	1.1634304260000001	18	41.709468534
89	1.8160412899999998	18	43.525509824000004
90	1.6037550899999997	18	45.129264914000004
91	1.5400096740000002	18	46.66927458800001
92	1.297576038	18	47.96685062600001
93	0.27772843999999974	18	48.24457906600001
