task	r0_energy	r0_config	r0_reward
0	1.3107949049999998	3	1.3107949049999998
1	1.4426021470000001	3	2.753397052
2	1.783319419	3	4.536716471
3	1.3925147039999999	3	5.929231175
4	1.368771849	3	7.298003024
5	1.3465935210000002	3	8.644596545
6	1.399777782	3	10.044374327
7	0.1887571530000005	3	10.23313148
8	0.34962349500000034	3	10.582754975
9	1.866102523	3	12.448857498
10	1.5834778939999998	3	14.032335392
11	1.636453702	4	1.636453702
12	0.4994003	4	2.1358540020000003
13	0.13567006199999998	4	2.2715240640000003
14	1.33650879	4	3.608032854
15	1.57840562	4	5.186438474
16	1.8126030949999998	4	6.999041569
17	1.1157925450000001	4	8.114834114
18	1.5010235619999999	4	9.615857676000001
19	1.560741696	4	11.176599372000002
20	1.320933888	4	12.49753326
21	1.487553648	4	13.985086908000001
22	0.057650519999999705	5	0.057650519999999705
23	1.2798575459999997	5	1.3375080659999994
24	1.4136174249999998	5	2.751125490999999
25	1.4320876249999999	5	4.183213115999999
26	1.3747565250000002	5	5.557969641
27	1.465357025	5	7.023326666
28	1.45963125	5	8.482957916
29	1.3701111349999997	5	9.853069051
30	0.234691749	5	10.0877608
31	0.2511867250000006	5	10.338947525
32	0.957145307	5	11.296092832
33	1.3903164	6	1.3903164
34	1.6459087919999997	6	3.036225192
35	0.5591541119999999	6	3.5953793039999997
36	0.11738381600000025	6	3.71276312
37	0.44912203600000034	6	4.161885156
38	1.6140402960000004	6	5.775925452000001
39	1.3824074400000004	6	7.158332892000002
40	1.5100466760000002	6	8.668379568000002
41	1.241437704	6	9.909817272000002
42	1.6640892000000003	6	11.573906472000001
43	0.95749032	6	12.531396792
44	0.3000717599999998	7	0.3000717599999998
45	0.021791280000000413	7	0.3218630400000002
46	1.717547044	7	2.039410084
47	1.646772512	7	3.686182596
48	1.859584272	7	5.545766868
49	1.653929186	7	7.199696054
50	1.179359981	7	8.379056035
51	0.9913719010000004	7	9.370427936
52	1.3386898589999998	7	10.709117795000001
53	0.2609513920000004	7	10.970069187000002
54	0.487355349	7	11.457424536000001
55	1.4855582989999996	7	12.942982835
56	1.394703056	7	14.337685891
57	0.0	7	14.337685891
58	0.07259029800000016	7	14.410276189
59	0.14969166499999975	7	14.559967854
60	1.846063038	7	16.406030892
61	1.3852272970000001	7	17.791258189
62	1.4532233319999999	7	19.244481521
63	1.49340115	7	20.737882671
64	1.7177352569999997	7	22.455617928000002
65	1.4507027959999999	7	23.906320724000004
66	1.2377236560000002	7	25.144044380000004
67	0.08884466399999935	7	25.232889044000004
68	0.21724231200000022	7	25.450131356000004
69	1.527612194	7	26.977743550000003
70	1.3022793579999996	7	28.280022908000003
71	2.435795596	7	30.715818504000005
72	1.555741776	7	32.27156028
73	1.7650343639999997	7	34.036594644000004
74	0.6161565500000001	7	34.652751194000004
75	1.6471636399999998	7	36.299914834000006
76	0.3298024499999994	7	36.62971728400001
77	1.8637677999999998	7	38.49348508400001
78	1.5120368180000001	7	40.005521902000005
79	1.6385319520000001	7	41.644053854000006
80	0.0	7	41.644053854000006
81	0.3763473089999998	7	42.020401163
82	1.567301861	7	43.587703024
83	2.226487657	7	45.814190681
84	1.538335416	7	47.352526097
85	1.7118916960000001	7	49.064417793000004
86	1.215498464	7	50.279916257000004
87	1.6196567309999998	7	51.899572988
88	1.634099166	7	53.533672154
89	1.2178275499999998	7	54.751499704000004
90	0.43707937500000016	7	55.18857907900001
91	1.1068795750000002	7	56.29545865400001
92	1.982326192	7	58.27778484600001
93	1.4697718640000001	7	59.74755671000001
94	1.4493375820000003	7	61.19689429200001
