==RUN 0==
Bandit Runs:0 Tasks-in-Run:0
Self-Optimizer Rounds:5 Tasks-in-Round:8
Continuous Knob Rounds:Inf Tasks-in-Round:0
STOKE: Start Bat: 0.620000
MAPSME_GPS_RATE: 10000
MAPSME_GPS_PRIORITY: High Accuracy
MAPSME_GPS_BATCH: 1x

ELocation 0: Accuracy:20.01
ELocation 1: Accuracy:14.00
ELocation 2: Accuracy:26.00
ELocation 3: Accuracy:11.00
ELocation 4: Accuracy:11.00
ELocation 5: Accuracy:11.00
ELocation 6: Accuracy:11.00
ELocation 7: Accuracy:7.00
ELocation 8: Accuracy:7.00
ELocation 9: Accuracy:5.00
ELocation 10: Accuracy:5.00
ELocation 11: Accuracy:4.00
ELocation 12: Accuracy:4.00
ELocation 13: Accuracy:4.00
ELocation 14: Accuracy:4.00
ELocation 15: Accuracy:4.00
ELocation 16: Accuracy:4.00
ELocation 17: Accuracy:4.00
ELocation 18: Accuracy:4.00
ELocation 19: Accuracy:4.00
ELocation 20: Accuracy:3.90
ELocation 21: Accuracy:3.90
ELocation 22: Accuracy:3.90
ELocation 23: Accuracy:3.90
ELocation 24: Accuracy:3.90
ELocation 25: Accuracy:3.90
ELocation 26: Accuracy:3.90
ELocation 27: Accuracy:3.90
ELocation 28: Accuracy:3.90
ELocation 29: Accuracy:3.90
ELocation 30: Accuracy:3.90
ELocation 31: Accuracy:3.90
ELocation 32: Accuracy:3.90
ELocation 33: Accuracy:3.90
ELocation 34: Accuracy:3.90
ELocation 35: Accuracy:3.90
ELocation 36: Accuracy:3.90
ELocation 37: Accuracy:3.90
ELocation 38: Accuracy:3.90
ELocation 39: Accuracy:3.90
ELocation 40: Accuracy:3.90
ELocation 41: Accuracy:3.90
ELocation 42: Accuracy:3.90
ELocation 43: Accuracy:3.90
ELocation 44: Accuracy:3.90
ELocation 45: Accuracy:3.90
ELocation 46: Accuracy:3.90
ELocation 47: Accuracy:3.90
ELocation 48: Accuracy:3.90
ELocation 49: Accuracy:3.90
ELocation 50: Accuracy:3.90
ELocation 51: Accuracy:3.90
ELocation 52: Accuracy:3.90
ELocation 53: Accuracy:3.90
ELocation 54: Accuracy:3.90
ELocation 55: Accuracy:3.90
ELocation 56: Accuracy:3.90
ELocation 57: Accuracy:3.90
ELocation 58: Accuracy:4.00
ELocation 59: Accuracy:4.00
ELocation 60: Accuracy:4.00
ELocation 61: Accuracy:4.00
ELocation 62: Accuracy:4.00
ELocation 63: Accuracy:4.00
ETask 1: Configuration:3 Energy:0.0 Power:0.0 Reward:1.4541601360000003 Time:60032 TotalReward:1.4541601360000003
ELocation 64: Accuracy:4.00
ELocation 65: Accuracy:4.00
ELocation 66: Accuracy:4.00
ELocation 67: Accuracy:10.00
ELocation 68: Accuracy:8.00
ELocation 69: Accuracy:11.00
ELocation 70: Accuracy:18.25
ELocation 71: Accuracy:18.25
ELocation 72: Accuracy:18.25
ELocation 73: Accuracy:13.00
ELocation 74: Accuracy:11.00
ELocation 75: Accuracy:9.00
ELocation 76: Accuracy:8.00
ELocation 77: Accuracy:7.00
ELocation 78: Accuracy:7.00
ELocation 79: Accuracy:7.00
ELocation 80: Accuracy:6.00
ELocation 81: Accuracy:6.00
ELocation 82: Accuracy:5.00
ELocation 83: Accuracy:5.00
ELocation 84: Accuracy:5.00
ELocation 85: Accuracy:5.00
ELocation 86: Accuracy:5.00
ELocation 87: Accuracy:5.00
ELocation 88: Accuracy:4.00
ELocation 89: Accuracy:4.00
ELocation 90: Accuracy:4.00
ELocation 91: Accuracy:4.00
ELocation 92: Accuracy:4.00
ELocation 93: Accuracy:4.00
ELocation 94: Accuracy:4.00
ELocation 95: Accuracy:4.00
ELocation 96: Accuracy:4.00
ELocation 97: Accuracy:4.00
ELocation 98: Accuracy:4.00
ELocation 99: Accuracy:4.00
ELocation 100: Accuracy:4.00
ELocation 101: Accuracy:5.00
ELocation 102: Accuracy:5.00
ELocation 103: Accuracy:5.00
ELocation 104: Accuracy:5.00
ELocation 105: Accuracy:5.00
ELocation 106: Accuracy:4.00
ELocation 107: Accuracy:4.00
ELocation 108: Accuracy:4.00
ELocation 109: Accuracy:4.00
ELocation 110: Accuracy:4.00
ELocation 111: Accuracy:4.00
ELocation 112: Accuracy:4.00
ELocation 113: Accuracy:3.90
ELocation 114: Accuracy:3.90
ELocation 115: Accuracy:4.00
ELocation 116: Accuracy:4.00
ELocation 117: Accuracy:4.00
ELocation 118: Accuracy:4.00
ELocation 119: Accuracy:4.00
ELocation 120: Accuracy:4.00
ELocation 121: Accuracy:4.00
ELocation 122: Accuracy:4.00
ELocation 123: Accuracy:4.00
ELocation 124: Accuracy:4.00
ELocation 125: Accuracy:4.00
ELocation 126: Accuracy:4.00
ELocation 127: Accuracy:4.00
ELocation 128: Accuracy:4.00
ELocation 129: Accuracy:4.00
ELocation 130: Accuracy:4.00
ETask 2: Configuration:3 Energy:0.0 Power:0.0 Reward:1.750284096 Time:60046 TotalReward:3.204444232
ELocation 131: Accuracy:4.00
ELocation 132: Accuracy:4.00
ELocation 133: Accuracy:4.00
ELocation 134: Accuracy:9.00
ELocation 135: Accuracy:9.00
ELocation 136: Accuracy:9.00
ELocation 137: Accuracy:9.41
ELocation 138: Accuracy:9.41
ELocation 139: Accuracy:12.00
ELocation 140: Accuracy:9.00
ELocation 141: Accuracy:6.00
ELocation 142: Accuracy:5.00
ELocation 143: Accuracy:4.00
ELocation 144: Accuracy:4.00
ELocation 145: Accuracy:4.00
ELocation 146: Accuracy:4.00
ELocation 147: Accuracy:4.00
ELocation 148: Accuracy:4.00
ELocation 149: Accuracy:4.00
ELocation 150: Accuracy:4.00
ELocation 151: Accuracy:4.00
ELocation 152: Accuracy:4.00
ELocation 153: Accuracy:5.00
ELocation 154: Accuracy:5.00
ELocation 155: Accuracy:6.00
ELocation 156: Accuracy:6.00
ELocation 157: Accuracy:6.00
ELocation 158: Accuracy:6.00
ELocation 159: Accuracy:6.00
ELocation 160: Accuracy:6.00
ELocation 161: Accuracy:6.00
ELocation 162: Accuracy:6.00
ELocation 163: Accuracy:6.00
ELocation 164: Accuracy:6.00
ELocation 165: Accuracy:7.00
ELocation 166: Accuracy:7.00
ELocation 167: Accuracy:7.00
ELocation 168: Accuracy:7.00
ELocation 169: Accuracy:7.00
ELocation 170: Accuracy:7.00
ELocation 171: Accuracy:8.00
ELocation 172: Accuracy:8.00
ELocation 173: Accuracy:8.00
ELocation 174: Accuracy:9.00
ELocation 175: Accuracy:9.00
ELocation 176: Accuracy:9.00
ELocation 177: Accuracy:9.00
ELocation 178: Accuracy:9.00
ELocation 179: Accuracy:9.00
ELocation 180: Accuracy:8.00
ELocation 181: Accuracy:8.00
ELocation 182: Accuracy:7.00
ELocation 183: Accuracy:7.00
ELocation 184: Accuracy:6.00
ELocation 185: Accuracy:7.00
ELocation 186: Accuracy:6.00
ELocation 187: Accuracy:6.00
ELocation 188: Accuracy:6.00
ELocation 189: Accuracy:6.00
ELocation 190: Accuracy:6.00
ELocation 191: Accuracy:6.00
ELocation 192: Accuracy:6.00
ELocation 193: Accuracy:5.00
ELocation 194: Accuracy:5.00
ELocation 195: Accuracy:5.00
ELocation 196: Accuracy:5.00
ETask 3: Configuration:3 Energy:0.0 Power:0.0 Reward:1.8666583600000002 Time:60048 TotalReward:5.071102592000001
ELocation 197: Accuracy:5.00
ELocation 198: Accuracy:5.00
ELocation 199: Accuracy:6.00
ELocation 200: Accuracy:19.00
ELocation 201: Accuracy:16.01
ELocation 202: Accuracy:18.00
ELocation 203: Accuracy:86.81
ELocation 204: Accuracy:86.81
ELocation 205: Accuracy:86.81
ELocation 206: Accuracy:16.00
ELocation 207: Accuracy:12.00
ELocation 208: Accuracy:11.00
ELocation 209: Accuracy:11.00
ELocation 210: Accuracy:10.00
ELocation 211: Accuracy:9.00
ELocation 212: Accuracy:8.00
ELocation 213: Accuracy:8.00
ELocation 214: Accuracy:8.00
ELocation 215: Accuracy:7.00
ELocation 216: Accuracy:6.00
ELocation 217: Accuracy:5.00
ELocation 218: Accuracy:5.00
ELocation 219: Accuracy:5.00
ELocation 220: Accuracy:4.00
ELocation 221: Accuracy:4.00
ELocation 222: Accuracy:4.00
ELocation 223: Accuracy:4.00
ELocation 224: Accuracy:4.00
ELocation 225: Accuracy:4.00
ELocation 226: Accuracy:4.00
ELocation 227: Accuracy:4.00
ELocation 228: Accuracy:4.00
ELocation 229: Accuracy:4.00
ELocation 230: Accuracy:4.00
ELocation 231: Accuracy:4.00
ELocation 232: Accuracy:4.00
ELocation 233: Accuracy:4.00
ELocation 234: Accuracy:4.00
ELocation 235: Accuracy:4.00
ELocation 236: Accuracy:4.00
ELocation 237: Accuracy:4.00
ELocation 238: Accuracy:4.00
ELocation 239: Accuracy:5.00
ELocation 240: Accuracy:4.00
ELocation 241: Accuracy:4.00
ELocation 242: Accuracy:4.00
ELocation 243: Accuracy:4.00
ELocation 244: Accuracy:3.90
ELocation 245: Accuracy:3.90
ELocation 246: Accuracy:3.90
ELocation 247: Accuracy:3.90
ELocation 248: Accuracy:3.90
ELocation 249: Accuracy:3.90
ELocation 250: Accuracy:3.90
ELocation 251: Accuracy:3.90
ELocation 252: Accuracy:3.90
ELocation 253: Accuracy:3.90
ELocation 254: Accuracy:3.90
ELocation 255: Accuracy:3.90
ELocation 256: Accuracy:3.90
ELocation 257: Accuracy:3.90
ELocation 258: Accuracy:3.90
ELocation 259: Accuracy:3.90
ELocation 260: Accuracy:3.90
ELocation 261: Accuracy:3.90
ELocation 262: Accuracy:3.90
ETask 4: Configuration:3 Energy:0.0 Power:0.0 Reward:0.11273965800000019 Time:60040 TotalReward:5.183842250000001
ELocation 263: Accuracy:3.90
ELocation 264: Accuracy:3.90
ELocation 265: Accuracy:3.00
ELocation 266: Accuracy:96.00
ELocation 267: Accuracy:18.08
ELocation 268: Accuracy:12.53
ELocation 269: Accuracy:79.70
ELocation 270: Accuracy:79.70
ELocation 271: Accuracy:79.70
ELocation 272: Accuracy:11.00
ELocation 273: Accuracy:9.00
ELocation 274: Accuracy:8.00
ELocation 275: Accuracy:6.00
ELocation 276: Accuracy:7.00
ELocation 277: Accuracy:7.00
ELocation 278: Accuracy:7.00
ELocation 279: Accuracy:6.00
ELocation 280: Accuracy:5.00
ELocation 281: Accuracy:5.00
ELocation 282: Accuracy:5.00
ELocation 283: Accuracy:5.00
ELocation 284: Accuracy:5.00
ELocation 285: Accuracy:5.00
ELocation 286: Accuracy:4.00
ELocation 287: Accuracy:4.00
ELocation 288: Accuracy:5.00
ELocation 289: Accuracy:4.00
ELocation 290: Accuracy:5.00
ELocation 291: Accuracy:5.00
ELocation 292: Accuracy:5.00
ELocation 293: Accuracy:6.00
ELocation 294: Accuracy:6.00
ELocation 295: Accuracy:6.00
ELocation 296: Accuracy:6.00
ELocation 297: Accuracy:6.00
ELocation 298: Accuracy:6.00
ELocation 299: Accuracy:6.00
ELocation 300: Accuracy:7.00
ELocation 301: Accuracy:7.00
ELocation 302: Accuracy:7.00
ELocation 303: Accuracy:7.00
ELocation 304: Accuracy:7.00
ELocation 305: Accuracy:8.00
ELocation 306: Accuracy:8.00
ELocation 307: Accuracy:8.00
ELocation 308: Accuracy:8.00
ELocation 309: Accuracy:9.00
ELocation 310: Accuracy:8.00
ELocation 311: Accuracy:8.00
ELocation 312: Accuracy:9.00
ELocation 313: Accuracy:10.00
ELocation 314: Accuracy:11.00
ELocation 315: Accuracy:12.00
ELocation 316: Accuracy:12.00
ELocation 317: Accuracy:12.00
ELocation 318: Accuracy:12.00
ELocation 319: Accuracy:12.00
ELocation 320: Accuracy:12.00
ELocation 321: Accuracy:10.00
ELocation 322: Accuracy:9.00
ELocation 323: Accuracy:8.00
ELocation 324: Accuracy:8.00
ELocation 325: Accuracy:8.00
ELocation 326: Accuracy:7.00
ELocation 327: Accuracy:7.00
ELocation 328: Accuracy:6.00
ETask 5: Configuration:3 Energy:0.0 Power:0.0 Reward:1.5772326570000001 Time:60051 TotalReward:6.761074907000001
ELocation 329: Accuracy:6.00
ELocation 330: Accuracy:6.00
ELocation 331: Accuracy:5.00
ELocation 332: Accuracy:11.00
ELocation 333: Accuracy:11.19
ELocation 334: Accuracy:17.16
ELocation 335: Accuracy:16.00
ELocation 336: Accuracy:19.22
ELocation 337: Accuracy:19.22
ELocation 338: Accuracy:16.00
ELocation 339: Accuracy:10.00
ELocation 340: Accuracy:8.00
ELocation 341: Accuracy:7.00
ELocation 342: Accuracy:7.00
ELocation 343: Accuracy:7.00
ELocation 344: Accuracy:7.00
ELocation 345: Accuracy:7.00
ELocation 346: Accuracy:7.00
ELocation 347: Accuracy:8.00
ELocation 348: Accuracy:7.00
ELocation 349: Accuracy:8.00
ELocation 350: Accuracy:8.00
ELocation 351: Accuracy:8.00
ELocation 352: Accuracy:8.00
ELocation 353: Accuracy:8.00
ELocation 354: Accuracy:8.00
ELocation 355: Accuracy:8.00
ELocation 356: Accuracy:8.00
ELocation 357: Accuracy:8.00
ELocation 358: Accuracy:8.00
ELocation 359: Accuracy:8.00
ELocation 360: Accuracy:8.00
ELocation 361: Accuracy:7.00
ELocation 362: Accuracy:8.00
ELocation 363: Accuracy:7.00
ELocation 364: Accuracy:7.00
ELocation 365: Accuracy:7.00
ELocation 366: Accuracy:6.00
ELocation 367: Accuracy:7.00
ELocation 368: Accuracy:7.00
ELocation 369: Accuracy:6.00
ELocation 370: Accuracy:6.00
ELocation 371: Accuracy:6.00
ELocation 372: Accuracy:7.00
ELocation 373: Accuracy:7.00
ELocation 374: Accuracy:7.00
ELocation 375: Accuracy:6.00
ELocation 376: Accuracy:7.00
ELocation 377: Accuracy:7.00
ELocation 378: Accuracy:7.00
ELocation 379: Accuracy:8.00
ELocation 380: Accuracy:8.00
ELocation 381: Accuracy:8.00
ELocation 382: Accuracy:9.00
ELocation 383: Accuracy:9.00
ELocation 384: Accuracy:9.00
ELocation 385: Accuracy:8.00
ELocation 386: Accuracy:8.00
ELocation 387: Accuracy:8.00
ELocation 388: Accuracy:9.00
ELocation 389: Accuracy:9.00
ELocation 390: Accuracy:9.00
ELocation 391: Accuracy:9.00
ELocation 392: Accuracy:9.00
ELocation 393: Accuracy:9.00
ELocation 394: Accuracy:9.00
ELocation 395: Accuracy:7.00
ELocation 396: Accuracy:8.00
ETask 6: Configuration:3 Energy:0.0 Power:0.0 Reward:1.2543978850000004 Time:60044 TotalReward:8.015472792
ELocation 397: Accuracy:8.00
ELocation 398: Accuracy:8.00
ELocation 399: Accuracy:6.00
ELocation 400: Accuracy:8.00
ELocation 401: Accuracy:11.76
ELocation 402: Accuracy:18.00
ELocation 403: Accuracy:16.00
ELocation 404: Accuracy:16.00
ELocation 405: Accuracy:14.00
ELocation 406: Accuracy:13.00
ELocation 407: Accuracy:13.00
ELocation 408: Accuracy:13.00
ELocation 409: Accuracy:13.00
ELocation 410: Accuracy:11.00
ELocation 411: Accuracy:9.00
ELocation 412: Accuracy:7.00
ELocation 413: Accuracy:6.00
ELocation 414: Accuracy:6.00
ELocation 415: Accuracy:6.00
ELocation 416: Accuracy:6.00
ELocation 417: Accuracy:6.00
ELocation 418: Accuracy:6.00
ELocation 419: Accuracy:6.00
ELocation 420: Accuracy:6.00
ELocation 421: Accuracy:7.00
ELocation 422: Accuracy:6.00
ELocation 423: Accuracy:6.00
ELocation 424: Accuracy:6.00
ELocation 425: Accuracy:5.00
ELocation 426: Accuracy:5.00
ELocation 427: Accuracy:5.00
ELocation 428: Accuracy:6.00
ELocation 429: Accuracy:6.00
ELocation 430: Accuracy:6.00
ELocation 431: Accuracy:6.00
ELocation 432: Accuracy:6.00
ELocation 433: Accuracy:5.00
ELocation 434: Accuracy:5.00
ELocation 435: Accuracy:5.00
ELocation 436: Accuracy:5.00
ELocation 437: Accuracy:4.00
ELocation 438: Accuracy:4.00
ELocation 439: Accuracy:4.00
ELocation 440: Accuracy:4.00
ELocation 441: Accuracy:4.00
ELocation 442: Accuracy:5.00
ELocation 443: Accuracy:5.00
ELocation 444: Accuracy:5.00
ELocation 445: Accuracy:6.00
ELocation 446: Accuracy:6.00
ELocation 447: Accuracy:6.00
ELocation 448: Accuracy:5.00
ELocation 449: Accuracy:5.00
ELocation 450: Accuracy:5.00
ELocation 451: Accuracy:5.00
ELocation 452: Accuracy:5.00
ELocation 453: Accuracy:5.00
ELocation 454: Accuracy:5.00
ELocation 455: Accuracy:5.00
ELocation 456: Accuracy:5.00
ELocation 457: Accuracy:5.00
ELocation 458: Accuracy:5.00
ELocation 459: Accuracy:5.00
ELocation 460: Accuracy:5.00
ELocation 461: Accuracy:5.00
ELocation 462: Accuracy:5.00
ELocation 463: Accuracy:5.00
ETask 7: Configuration:3 Energy:0.0 Power:0.0 Reward:1.612872711 Time:60036 TotalReward:9.628345503
ELocation 464: Accuracy:5.00
ELocation 465: Accuracy:5.00
ELocation 466: Accuracy:5.00
ELocation 467: Accuracy:13.00
ELocation 468: Accuracy:13.00
ELocation 469: Accuracy:78.50
ELocation 470: Accuracy:16.00
ELocation 471: Accuracy:16.00
ELocation 472: Accuracy:14.00
ELocation 473: Accuracy:11.00
ELocation 474: Accuracy:9.00
ELocation 475: Accuracy:8.00
ELocation 476: Accuracy:6.00
ELocation 477: Accuracy:6.00
ELocation 478: Accuracy:6.00
ELocation 479: Accuracy:5.00
ELocation 480: Accuracy:5.00
ELocation 481: Accuracy:4.00
ELocation 482: Accuracy:4.00
ELocation 483: Accuracy:3.90
ELocation 484: Accuracy:4.00
ELocation 485: Accuracy:4.00
ELocation 486: Accuracy:4.00
ELocation 487: Accuracy:3.90
ELocation 488: Accuracy:3.90
ELocation 489: Accuracy:3.90
ELocation 490: Accuracy:3.90
ELocation 491: Accuracy:3.90
ELocation 492: Accuracy:3.90
ELocation 493: Accuracy:3.90
ELocation 494: Accuracy:3.90
ELocation 495: Accuracy:3.90
ELocation 496: Accuracy:3.90
ELocation 497: Accuracy:3.90
ELocation 498: Accuracy:3.90
ELocation 499: Accuracy:3.90
ELocation 500: Accuracy:3.90
ELocation 501: Accuracy:3.90
ELocation 502: Accuracy:3.90
ELocation 503: Accuracy:3.90
ELocation 504: Accuracy:3.90
ELocation 505: Accuracy:3.90
ELocation 506: Accuracy:3.90
ELocation 507: Accuracy:3.90
ELocation 508: Accuracy:3.90
ELocation 509: Accuracy:3.90
ELocation 510: Accuracy:3.90
ELocation 511: Accuracy:3.90
ELocation 512: Accuracy:3.90
ELocation 513: Accuracy:3.90
ELocation 514: Accuracy:3.90
ELocation 515: Accuracy:3.90
ELocation 516: Accuracy:3.90
ELocation 517: Accuracy:3.90
ELocation 518: Accuracy:3.90
ELocation 519: Accuracy:3.90
ELocation 520: Accuracy:3.90
ELocation 521: Accuracy:3.90
ELocation 522: Accuracy:3.90
ELocation 523: Accuracy:3.90
ELocation 524: Accuracy:3.90
ELocation 525: Accuracy:3.90
ELocation 526: Accuracy:3.90
ELocation 527: Accuracy:3.90
ELocation 528: Accuracy:3.90
ELocation 529: Accuracy:3.90
ETask 8: Configuration:3 Energy:0.0 Power:0.0 Reward:1.4761404480000002 Time:60042 TotalReward:11.104485951000001
ELocation 530: Accuracy:3.90
ELocation 531: Accuracy:3.90
ELocation 532: Accuracy:3.00
ELocation 533: Accuracy:9.00
ELocation 534: Accuracy:10.00
ELocation 535: Accuracy:76.73
ELocation 536: Accuracy:8.00
ELocation 537: Accuracy:8.00
ELocation 538: Accuracy:11.00
ELocation 539: Accuracy:8.00
ELocation 540: Accuracy:6.00
ELocation 541: Accuracy:5.00
ELocation 542: Accuracy:4.00
ELocation 543: Accuracy:5.00
ELocation 544: Accuracy:4.00
ELocation 545: Accuracy:4.00
ELocation 546: Accuracy:4.00
ELocation 547: Accuracy:3.90
ELocation 548: Accuracy:3.90
ELocation 549: Accuracy:3.90
ELocation 550: Accuracy:3.90
ELocation 551: Accuracy:3.90
ELocation 552: Accuracy:3.90
ELocation 553: Accuracy:3.90
ELocation 554: Accuracy:3.90
ELocation 555: Accuracy:3.90
ELocation 556: Accuracy:3.90
ELocation 557: Accuracy:3.90
ELocation 558: Accuracy:3.90
ELocation 559: Accuracy:3.90
ELocation 560: Accuracy:4.00
ELocation 561: Accuracy:4.00
ELocation 562: Accuracy:3.90
ELocation 563: Accuracy:3.90
ELocation 564: Accuracy:3.90
ELocation 565: Accuracy:3.00
ELocation 566: Accuracy:3.90
ELocation 567: Accuracy:3.90
ELocation 568: Accuracy:3.90
ELocation 569: Accuracy:3.90
ELocation 570: Accuracy:3.90
ELocation 571: Accuracy:3.90
ELocation 572: Accuracy:3.90
ELocation 573: Accuracy:3.90
ELocation 574: Accuracy:3.90
ELocation 575: Accuracy:3.90
ELocation 576: Accuracy:3.90
ELocation 577: Accuracy:3.90
ELocation 578: Accuracy:3.90
ELocation 579: Accuracy:3.90
ELocation 580: Accuracy:3.90
ELocation 581: Accuracy:3.90
ELocation 582: Accuracy:3.90
ELocation 583: Accuracy:3.90
ELocation 584: Accuracy:3.90
ELocation 585: Accuracy:3.90
ELocation 586: Accuracy:4.00
ELocation 587: Accuracy:3.90
ELocation 588: Accuracy:3.90
ELocation 589: Accuracy:3.90
ELocation 590: Accuracy:3.90
ELocation 591: Accuracy:3.90
ELocation 592: Accuracy:3.90
ELocation 593: Accuracy:3.90
ELocation 594: Accuracy:3.90
ELocation 595: Accuracy:3.90
ELocation 596: Accuracy:3.90
ETask 9: Configuration:3 Energy:0.0 Power:0.0 Reward:1.350030243 Time:60037 TotalReward:12.454516194
ELocation 597: Accuracy:3.90
ELocation 598: Accuracy:3.90
ELocation 599: Accuracy:3.00
