==RUN 0==
Bandit Runs:1 Tasks-in-Run:1
Self-Optimizer Rounds:0 Tasks-in-Round:0
Continuous Knob Rounds:Inf Tasks-in-Round:0
STOKE: Start Bat: 0.710000
ELocation 0: Accuracy:17.00
ELocation 1: Accuracy:7.00
ELocation 2: Accuracy:6.00
ELocation 3: Accuracy:7.00
ELocation 4: Accuracy:7.00
ELocation 5: Accuracy:7.00
ELocation 6: Accuracy:11.00
ELocation 7: Accuracy:11.00
ELocation 8: Accuracy:12.00
ELocation 9: Accuracy:10.00
ELocation 10: Accuracy:14.03
ELocation 11: Accuracy:14.03
ELocation 12: Accuracy:14.60
ELocation 13: Accuracy:10.00
ELocation 14: Accuracy:14.68
ELocation 15: Accuracy:14.25
ELocation 16: Accuracy:9.00
ELocation 17: Accuracy:13.97
ELocation 18: Accuracy:13.77
ELocation 19: Accuracy:10.00
ELocation 20: Accuracy:13.92
ELocation 21: Accuracy:14.30
ELocation 22: Accuracy:11.00
ELocation 23: Accuracy:15.13
ELocation 24: Accuracy:15.41
ELocation 25: Accuracy:11.00
ELocation 26: Accuracy:15.62
ELocation 27: Accuracy:15.91
ELocation 28: Accuracy:11.00
ELocation 29: Accuracy:16.00
ELocation 30: Accuracy:16.47
ELocation 31: Accuracy:13.00
ELocation 32: Accuracy:17.89
ELocation 33: Accuracy:18.54
ELocation 34: Accuracy:15.00
ELocation 35: Accuracy:19.35
ELocation 36: Accuracy:20.94
ELocation 37: Accuracy:14.00
ELocation 38: Accuracy:20.86
ELocation 39: Accuracy:21.15
ELocation 40: Accuracy:15.00
ELocation 41: Accuracy:21.41
ELocation 42: Accuracy:21.95
ETask 1-1: Configuration:7 Energy:0.0 Reward:-13.910860460858013 Raw:13.910860460858013 Time:32572 TotalReward:0.0
ELocation 0: Accuracy:14.00
ELocation 1: Accuracy:21.61
ELocation 2: Accuracy:20.36
ELocation 3: Accuracy:13.00
ELocation 4: Accuracy:20.02
ELocation 5: Accuracy:19.61
ELocation 6: Accuracy:13.00
ELocation 7: Accuracy:19.50
ELocation 8: Accuracy:19.41
ELocation 9: Accuracy:19.35
ELocation 10: Accuracy:13.00
ELocation 11: Accuracy:19.27
ELocation 12: Accuracy:13.00
ELocation 13: Accuracy:19.24
ELocation 14: Accuracy:18.77
ELocation 15: Accuracy:12.00
ELocation 16: Accuracy:18.46
ELocation 17: Accuracy:18.25
ELocation 18: Accuracy:12.00
ELocation 19: Accuracy:17.99
ELocation 20: Accuracy:17.86
ELocation 21: Accuracy:12.00
ELocation 22: Accuracy:17.82
ELocation 23: Accuracy:17.79
ELocation 24: Accuracy:17.77
ELocation 25: Accuracy:12.00
ELocation 26: Accuracy:17.30
ELocation 27: Accuracy:16.99
ELocation 28: Accuracy:11.00
ELocation 29: Accuracy:16.62
ELocation 30: Accuracy:16.51
ELocation 31: Accuracy:11.00
ELocation 32: Accuracy:16.44
ELocation 33: Accuracy:16.34
ETask 2-2: Configuration:7 Energy:0.0 Reward:-16.44920601564295 Raw:16.44920601564295 Time:32503 TotalReward:0.0
ELocation 0: Accuracy:11.00
ELocation 1: Accuracy:16.31
ELocation 2: Accuracy:16.28
ELocation 3: Accuracy:11.00
ELocation 4: Accuracy:16.26
ELocation 5: Accuracy:16.25
ELocation 6: Accuracy:11.00
ELocation 7: Accuracy:16.25
ELocation 8: Accuracy:16.25
ELocation 9: Accuracy:11.00
ELocation 10: Accuracy:16.24
ELocation 11: Accuracy:16.24
ELocation 12: Accuracy:11.00
ELocation 13: Accuracy:16.24
ELocation 14: Accuracy:16.24
ELocation 15: Accuracy:16.61
ELocation 16: Accuracy:12.00
ELocation 17: Accuracy:16.89
ELocation 18: Accuracy:17.27
ELocation 19: Accuracy:12.00
ELocation 20: Accuracy:17.05
ELocation 21: Accuracy:16.81
ELocation 22: Accuracy:11.00
ELocation 23: Accuracy:16.65
ELocation 24: Accuracy:16.53
ELocation 25: Accuracy:12.00
ELocation 26: Accuracy:16.77
ELocation 27: Accuracy:16.62
ELocation 28: Accuracy:12.00
ELocation 29: Accuracy:17.11
ELocation 30: Accuracy:17.27
ELocation 31: Accuracy:17.39
ELocation 32: Accuracy:12.00
ELocation 33: Accuracy:17.54
ETask 3-3: Configuration:7 Energy:0.0 Reward:-14.973147055682015 Raw:14.973147055682015 Time:32503 TotalReward:0.0
ELocation 0: Accuracy:12.00
ELocation 1: Accuracy:17.62
ELocation 2: Accuracy:17.65
ELocation 3: Accuracy:11.00
ELocation 4: Accuracy:16.94
ELocation 5: Accuracy:16.60
ELocation 6: Accuracy:12.00
ELocation 7: Accuracy:16.88
ELocation 8: Accuracy:16.70
ELocation 9: Accuracy:11.00
ELocation 10: Accuracy:16.48
ELocation 11: Accuracy:16.41
ELocation 12: Accuracy:16.36
ELocation 13: Accuracy:11.00
ELocation 14: Accuracy:16.33
ELocation 15: Accuracy:16.30
ELocation 16: Accuracy:10.00
ELocation 17: Accuracy:15.52
ELocation 18: Accuracy:15.30
ELocation 19: Accuracy:15.15
ELocation 20: Accuracy:10.00
ELocation 21: Accuracy:15.04
ELocation 22: Accuracy:14.96
ELocation 23: Accuracy:11.00
ELocation 24: Accuracy:15.53
ELocation 25: Accuracy:15.43
ELocation 26: Accuracy:10.00
ELocation 27: Accuracy:15.10
ELocation 28: Accuracy:15.01
ELocation 29: Accuracy:10.00
ELocation 30: Accuracy:14.94
ELocation 31: Accuracy:14.85
ELocation 32: Accuracy:10.00
ELocation 33: Accuracy:14.83
ELocation 34: Accuracy:14.81
ETask 4-4: Configuration:7 Energy:0.0 Reward:-14.249657194955008 Raw:14.249657194955008 Time:32502 TotalReward:0.0
ELocation 0: Accuracy:14.80
ELocation 1: Accuracy:10.00
ELocation 2: Accuracy:14.79
ELocation 3: Accuracy:14.78
ELocation 4: Accuracy:10.00
ELocation 5: Accuracy:14.77
ELocation 6: Accuracy:14.77
ELocation 7: Accuracy:10.00
ELocation 8: Accuracy:14.77
ELocation 9: Accuracy:14.77
ELocation 10: Accuracy:14.77
ELocation 11: Accuracy:10.00
ELocation 12: Accuracy:14.76
ELocation 13: Accuracy:14.31
ELocation 14: Accuracy:9.00
ELocation 15: Accuracy:13.80
ELocation 16: Accuracy:9.00
ELocation 17: Accuracy:13.55
ELocation 18: Accuracy:13.48
ELocation 19: Accuracy:9.00
ELocation 20: Accuracy:13.39
ELocation 21: Accuracy:13.36
ELocation 22: Accuracy:13.70
ELocation 23: Accuracy:10.00
ELocation 24: Accuracy:13.97
ELocation 25: Accuracy:14.33
ELocation 26: Accuracy:10.00
ELocation 27: Accuracy:14.44
ELocation 28: Accuracy:14.59
ELocation 29: Accuracy:10.00
ELocation 30: Accuracy:14.64
ELocation 31: Accuracy:14.70
ELocation 32: Accuracy:11.00
ELocation 33: Accuracy:15.08
ETask 5-5: Configuration:7 Energy:0.0 Reward:-12.890970594742718 Raw:12.890970594742718 Time:32501 TotalReward:0.0
ELocation 0: Accuracy:15.08
ELocation 1: Accuracy:15.08
ELocation 2: Accuracy:10.00
ELocation 3: Accuracy:10.00
ELocation 4: Accuracy:10.00
ELocation 5: Accuracy:14.82
ELocation 6: Accuracy:11.00
ELocation 7: Accuracy:12.00
ELocation 8: Accuracy:11.00
ELocation 9: Accuracy:10.00
ELocation 10: Accuracy:15.56
ELocation 11: Accuracy:9.00
ELocation 12: Accuracy:9.00
ELocation 13: Accuracy:9.00
ETask 6-6: Configuration:6 Energy:0.0 Reward:-11.538071428026472 Raw:11.538071428026472 Time:32544 TotalReward:0.0
ELocation 0: Accuracy:9.00
ELocation 1: Accuracy:13.81
ELocation 2: Accuracy:9.00
ELocation 3: Accuracy:9.00
ELocation 4: Accuracy:9.00
ELocation 5: Accuracy:9.00
ELocation 6: Accuracy:13.43
ELocation 7: Accuracy:9.00
ELocation 8: Accuracy:9.00
ELocation 9: Accuracy:10.00
ELocation 10: Accuracy:10.00
ELocation 11: Accuracy:13.97
ELocation 12: Accuracy:10.00
ELocation 13: Accuracy:10.00
ETask 7-7: Configuration:6 Energy:0.0 Reward:-10.300928592681885 Raw:10.300928592681885 Time:32504 TotalReward:0.0
ELocation 0: Accuracy:10.00
ELocation 1: Accuracy:10.00
ELocation 2: Accuracy:14.53
ELocation 3: Accuracy:10.00
ELocation 4: Accuracy:10.00
ELocation 5: Accuracy:11.00
ELocation 6: Accuracy:11.00
ELocation 7: Accuracy:15.34
ELocation 8: Accuracy:11.00
ELocation 9: Accuracy:10.00
ELocation 10: Accuracy:10.00
ELocation 11: Accuracy:10.00
ELocation 12: Accuracy:15.06
ELocation 13: Accuracy:10.00
ETask 8-8: Configuration:6 Energy:0.0 Reward:-11.280214309692383 Raw:11.280214309692383 Time:32505 TotalReward:0.0
ELocation 0: Accuracy:11.00
ELocation 1: Accuracy:10.00
ELocation 2: Accuracy:10.00
ELocation 3: Accuracy:15.03
ELocation 4: Accuracy:9.00
ELocation 5: Accuracy:10.00
ELocation 6: Accuracy:10.00
ELocation 7: Accuracy:10.00
ELocation 8: Accuracy:14.66
ELocation 9: Accuracy:11.00
ELocation 10: Accuracy:11.00
ELocation 11: Accuracy:11.00
ETask 9-9: Configuration:6 Energy:0.0 Reward:-11.0575000445048 Raw:11.0575000445048 Time:32504 TotalReward:0.0
ELocation 0: Accuracy:12.00
ELocation 1: Accuracy:16.08
ELocation 2: Accuracy:13.00
ELocation 3: Accuracy:13.00
ELocation 4: Accuracy:13.00
ELocation 5: Accuracy:15.00
ELocation 6: Accuracy:18.74
ELocation 7: Accuracy:14.00
ELocation 8: Accuracy:17.00
ELocation 9: Accuracy:14.00
ELocation 10: Accuracy:13.00
ELocation 11: Accuracy:20.10
ELocation 12: Accuracy:13.00
ELocation 13: Accuracy:14.00
ETask 10-10: Configuration:6 Energy:0.0 Reward:-14.708785738263812 Raw:14.708785738263812 Time:32507 TotalReward:0.0
ELocation 0: Accuracy:20.06
ELocation 1: Accuracy:20.06
ELocation 2: Accuracy:14.00
ELocation 3: Accuracy:20.34
ELocation 4: Accuracy:12.00
ELocation 5: Accuracy:19.50
ELocation 6: Accuracy:11.00
ELocation 7: Accuracy:18.42
ELocation 8: Accuracy:11.00
ELocation 9: Accuracy:17.73
ELocation 10: Accuracy:12.00
ELocation 11: Accuracy:17.73
ELocation 12: Accuracy:13.00
ELocation 13: Accuracy:18.10
ELocation 14: Accuracy:13.00
ELocation 15: Accuracy:18.38
ELocation 16: Accuracy:13.00
ELocation 17: Accuracy:18.59
ELocation 18: Accuracy:18.75
ELocation 19: Accuracy:14.00
ELocation 20: Accuracy:19.22
ELocation 21: Accuracy:14.00
ELocation 22: Accuracy:19.59
ETask 11-11: Configuration:5 Energy:0.0 Reward:-16.237825974174168 Raw:16.237825974174168 Time:32544 TotalReward:0.0
ELocation 0: Accuracy:13.00
ELocation 1: Accuracy:19.48
ELocation 2: Accuracy:13.00
ELocation 3: Accuracy:19.40
ELocation 4: Accuracy:12.00
ELocation 5: Accuracy:18.89
ELocation 6: Accuracy:12.00
ELocation 7: Accuracy:18.54
ELocation 8: Accuracy:11.00
ELocation 9: Accuracy:17.82
ELocation 10: Accuracy:11.00
ELocation 11: Accuracy:17.34
ELocation 12: Accuracy:12.00
ELocation 13: Accuracy:17.44
ELocation 14: Accuracy:12.00
ELocation 15: Accuracy:17.51
ELocation 16: Accuracy:11.00
ELocation 17: Accuracy:17.13
ELocation 18: Accuracy:13.00
ELocation 19: Accuracy:17.63
ELocation 20: Accuracy:14.00
ELocation 21: Accuracy:18.33
ETask 12-12: Configuration:5 Energy:0.0 Reward:-15.159727269952947 Raw:15.159727269952947 Time:32503 TotalReward:0.0
ELocation 0: Accuracy:16.00
ELocation 1: Accuracy:19.42
ELocation 2: Accuracy:14.00
ELocation 3: Accuracy:19.74
ELocation 4: Accuracy:12.00
ELocation 5: Accuracy:19.12
ELocation 6: Accuracy:11.00
ELocation 7: Accuracy:18.18
ELocation 8: Accuracy:11.00
ELocation 9: Accuracy:17.58
ELocation 10: Accuracy:11.00
ELocation 11: Accuracy:17.18
ELocation 12: Accuracy:11.00
ELocation 13: Accuracy:16.90
ELocation 14: Accuracy:11.00
ELocation 15: Accuracy:16.71
ELocation 16: Accuracy:10.00
ELocation 17: Accuracy:16.10
ELocation 18: Accuracy:10.00
ELocation 19: Accuracy:15.70
ELocation 20: Accuracy:10.00
ELocation 21: Accuracy:15.42
ETask 13-13: Configuration:5 Energy:0.0 Reward:-14.502681862224232 Raw:14.502681862224232 Time:32505 TotalReward:0.0
ELocation 0: Accuracy:10.00
ELocation 1: Accuracy:15.23
ELocation 2: Accuracy:10.00
ELocation 3: Accuracy:15.10
ELocation 4: Accuracy:11.00
ELocation 5: Accuracy:15.39
ELocation 6: Accuracy:11.00
ELocation 7: Accuracy:15.61
ELocation 8: Accuracy:11.00
ELocation 9: Accuracy:15.77
ELocation 10: Accuracy:11.00
ELocation 11: Accuracy:15.90
ELocation 12: Accuracy:13.00
ELocation 13: Accuracy:16.63
ELocation 14: Accuracy:14.00
ELocation 15: Accuracy:17.50
ELocation 16: Accuracy:14.00
ELocation 17: Accuracy:18.22
ELocation 18: Accuracy:12.00
ELocation 19: Accuracy:18.08
ELocation 20: Accuracy:12.00
ELocation 21: Accuracy:17.98
ETask 14-14: Configuration:5 Energy:0.0 Reward:-14.109636350111527 Raw:14.109636350111527 Time:32502 TotalReward:0.0
ELocation 0: Accuracy:14.00
ELocation 1: Accuracy:18.61
ELocation 2: Accuracy:13.00
ELocation 3: Accuracy:18.76
ELocation 4: Accuracy:13.00
ELocation 5: Accuracy:18.88
ELocation 6: Accuracy:13.00
ELocation 7: Accuracy:18.96
ELocation 8: Accuracy:13.00
ELocation 9: Accuracy:19.02
ELocation 10: Accuracy:13.00
ELocation 11: Accuracy:19.07
ELocation 12: Accuracy:12.00
ELocation 13: Accuracy:18.67
ELocation 14: Accuracy:12.00
ELocation 15: Accuracy:18.39
ELocation 16: Accuracy:13.00
ELocation 17: Accuracy:18.60
ELocation 18: Accuracy:13.00
ELocation 19: Accuracy:18.76
ETask 15-15: Configuration:5 Energy:0.0 Reward:-15.836449813842773 Raw:15.836449813842773 Time:32503 TotalReward:0.0
ELocation 0: Accuracy:18.76
ELocation 1: Accuracy:18.76
ELocation 2: Accuracy:12.00
ELocation 3: Accuracy:11.00
ELocation 4: Accuracy:10.00
ELocation 5: Accuracy:10.00
ELocation 6: Accuracy:10.00
ELocation 7: Accuracy:15.72
ELocation 8: Accuracy:10.00
ELocation 9: Accuracy:10.00
ELocation 10: Accuracy:10.00
ELocation 11: Accuracy:10.00
ELocation 12: Accuracy:15.01
ELocation 13: Accuracy:10.00
ELocation 14: Accuracy:10.00
ETask 16-16: Configuration:4 Energy:0.0 Reward:-12.082999928792317 Raw:12.082999928792317 Time:32541 TotalReward:0.0
ELocation 0: Accuracy:10.00
ELocation 1: Accuracy:10.00
ELocation 2: Accuracy:14.83
ELocation 3: Accuracy:10.00
ELocation 4: Accuracy:10.00
ELocation 5: Accuracy:10.00
ELocation 6: Accuracy:10.00
ELocation 7: Accuracy:14.78
ELocation 8: Accuracy:10.00
ELocation 9: Accuracy:10.00
ELocation 10: Accuracy:10.00
ELocation 11: Accuracy:10.00
ELocation 12: Accuracy:14.77
ELocation 13: Accuracy:10.00
ETask 17-17: Configuration:4 Energy:0.0 Reward:-11.027142797197614 Raw:11.027142797197614 Time:32503 TotalReward:0.0
ELocation 0: Accuracy:10.00
ELocation 1: Accuracy:9.00
ELocation 2: Accuracy:10.00
ELocation 3: Accuracy:14.43
ELocation 4: Accuracy:10.00
ELocation 5: Accuracy:10.00
ELocation 6: Accuracy:10.00
ELocation 7: Accuracy:10.00
ELocation 8: Accuracy:14.67
ELocation 9: Accuracy:10.00
ELocation 10: Accuracy:10.00
ELocation 11: Accuracy:11.00
ELocation 12: Accuracy:11.00
ELocation 13: Accuracy:15.38
ETask 18-18: Configuration:4 Energy:0.0 Reward:-11.105714253016881 Raw:11.105714253016881 Time:32501 TotalReward:0.0
ELocation 0: Accuracy:10.00
ELocation 1: Accuracy:10.00
ELocation 2: Accuracy:11.00
ELocation 3: Accuracy:11.00
ELocation 4: Accuracy:15.60
ELocation 5: Accuracy:12.00
ELocation 6: Accuracy:13.00
ELocation 7: Accuracy:13.00
ELocation 8: Accuracy:12.00
ELocation 9: Accuracy:17.46
ELocation 10: Accuracy:11.00
ELocation 11: Accuracy:11.00
ELocation 12: Accuracy:12.00
ETask 19-19: Configuration:4 Energy:0.0 Reward:-12.234999950115498 Raw:12.234999950115498 Time:32505 TotalReward:0.0
ELocation 0: Accuracy:12.00
ELocation 1: Accuracy:17.24
ELocation 2: Accuracy:12.00
ELocation 3: Accuracy:11.00
ELocation 4: Accuracy:11.00
ELocation 5: Accuracy:10.00
ELocation 6: Accuracy:16.16
ELocation 7: Accuracy:10.00
ELocation 8: Accuracy:10.00
ELocation 9: Accuracy:11.00
ELocation 10: Accuracy:10.00
ELocation 11: Accuracy:15.40
ELocation 12: Accuracy:10.00
ELocation 13: Accuracy:10.00
ETask 20-20: Configuration:4 Energy:0.0 Reward:-11.842857224600655 Raw:11.842857224600655 Time:32506 TotalReward:0.0
ELocation 0: Accuracy:15.09
ELocation 1: Accuracy:10.00
ELocation 2: Accuracy:10.00
ELocation 3: Accuracy:10.00
ELocation 4: Accuracy:15.09
ELocation 5: Accuracy:10.00
ELocation 6: Accuracy:11.00
ELocation 7: Accuracy:14.32
ELocation 8: Accuracy:12.00
ELocation 9: Accuracy:16.22
ELocation 10: Accuracy:16.60
ELocation 11: Accuracy:17.98
ELocation 12: Accuracy:15.00
ELocation 13: Accuracy:19.00
ELocation 14: Accuracy:17.98
ELocation 15: Accuracy:17.00
ELocation 16: Accuracy:14.00
ELocation 17: Accuracy:24.83
ELocation 18: Accuracy:24.48
ELocation 19: Accuracy:22.78
ELocation 20: Accuracy:14.00
ETask 21-21: Configuration:3 Energy:0.0 Reward:-15.588952336992536 Raw:15.588952336992536 Time:32538 TotalReward:0.0
ELocation 0: Accuracy:22.78
ELocation 1: Accuracy:16.00
ELocation 2: Accuracy:21.00
ELocation 3: Accuracy:23.68
ELocation 4: Accuracy:26.43
ELocation 5: Accuracy:24.00
ELocation 6: Accuracy:19.00
ELocation 7: Accuracy:27.99
ELocation 8: Accuracy:18.00
ELocation 9: Accuracy:27.99
ELocation 10: Accuracy:16.00
ELocation 11: Accuracy:20.00
ELocation 12: Accuracy:27.09
ELocation 13: Accuracy:19.00
ELocation 14: Accuracy:21.00
ELocation 15: Accuracy:28.50
ELocation 16: Accuracy:28.38
ELocation 17: Accuracy:29.53
ELocation 18: Accuracy:28.00
